
ferrocarril fe#rro#ca#rril
a a
a a
cambiarte cam#biar#te
bajas ba#jas
caro ca#ro
al al
atardecer a#tar#de#cer
bien bien
cerca cer#ca
con con
bueno bue#no
cada ca#da
como co#mo
con con
cuando cuan#do
das das
desapareces de#sa#pa#re#ces
demás de#más
de de
dices di#ces
el el
doce do#ce
entiendo en#tien#do
empezar em#pe#zar
estás es#tás
falta fal#ta
luego lue#go
gana ga#na
extraño ex#tra#ño
humor hu#mor
no no
de de
forma for#ma
gusta gus#ta
hace ha#ce
limón li#món
llena lle#na
le le
lo lo
me me
llega lle#ga
nada na#da
lo lo
mes mes
no no
que que
muy muy
no no
tengo ten#go
por por
confesar con#fe#sar
que que
lo lo
nada na#da
pero pe#ro
luna lu#na
pones po#nes
o o
que que
quiero quie#ro
quieres quie#res
romántico ro#mán#ti#co
sal sal
seguro se#gu#ro
ser ser
qué qué
si si
sientes sien#tes
siento sien#to
tal tal
subes su#bes
tenerte te#ner#te
te te
vas vas
veces ve#ces
sólo só#lo
todo to#do
te te
tu tu
vuelvo vuel#vo
vienes vie#nes
y y
un un
yo yo
