Bâle;bɑl
Bâlois;bɑ.lwa
Bâloise;bɑ.lwaz
Bâtiment;bɑ.ti.mɑ̃
Bâul;bol
Bâuls;bol
Bès;bɛs
Bètleyèm;bas.te
Béa;be.a
Béarnais;be.aʁ.nɛ
Béarnois;be.aʁ.nwa
Béatitude;be.a.ti.tyd
Béatrice;be.a.tʁis
Béatrixois;be.a.tʁi.kswa
Bébert;be.bɛʁ
Bécancour;be.kɑ̃.kuʁ
Bécancourais;be.kɑ̃.ku.ʁɛ
Bécancoureur;be.kɑ̃.ku.ʁœʁ
Bécancourien;be.kɑ̃.ku.ʁjɛ̃
Bécancourois;be.kɑ̃.ku.ʁwa
Bédoinaises;be.dwa.nɛz
Béginois;be.ʒi.nwa
Béharnais;be.aʁ.nɛ
Béjaïa;be.ʒa.ja
Bélairien;be.lɛ.ʁjɛ̃
Bélairois;be.lɛ.ʁwa
Bélairoise;be.lɛ.ʁwaz
Bélairoises;be.lɛ.ʁwaz
Bélarus;be.la.ʁys
Bélier;be.lje
Bélinda;be.lin.da
Bélize;be.liz
Bélizien;be.li.zjɛ̃
Bélizienne;be.li.zjɛn
Béliziennes;be.li.zjɛn
Béliziens;be.li.zjɛ̃
Bénédicte;be.ne.dik.tə
Bénédictin;be.ne.dik.tɛ̃
Bénédictine;be.ne.dik.tin
Bénédictines;be.ne.dik.tin
Bénédictins;be.ne.dik.tɛ̃
Bénélux;be.ne.lyks
Bénéluxien;be.ne.ly.ksjɛ̃
Bénéluxois;be.ne.ly.kswa
Bénarès;be.na.ʁɛs
Bénichou;be.ni.ʃu
Bénin;be.nɛ̃
Béninois;be.ni.nwa
Béninoise;be.ni.nwaz
Béninoises;be.ni.nwaz
Bénodet;be.nɔ.dɛ
Bénouville;be.nu.vil
Béotie;be.ɔ.si
Béotien;be.ɔ.sjɛ̃
Béotienne;be.ɔ.sjɛn
Béotiennes;be.ɔ.sjɛn
Béotiens;be.ɔ.sjɛ̃
Béré;be.ʁe
Béréba;be.ʁe.ba
Bérézina;be.ʁe.zi.na
Bérangère;be.ʁɑ̃.ʒɛʁ
Bérengère;be.ʁɑ̃.ʒɛʁ
Bérenger;be.ʁɑ̃.ʒe
Bété;be.te
Bétée;be.te
Bétées;be.te
Bétés;be.te
Bételgeuse;be.tɛl.ʒøz
Béthanie;betani
Béthanien;be.ta.njɛ̃
Béthune;be.tyn
Béthunoise;be.ty.nwaz
Béthunoises;be.ty.nwaz
Bétique;be.tik
Bétonais;be.tɔ.nɛ
Béziers;be.zje
Bônoise;bo.nwaz
Bû;by
Bûtan;bi.bi
Bücher;bʁa.bɑ̃.sɔ̃
Büchse;byʁ.ki.na.fa.so
Bügeleisen;ba.ʁja.tʁi
Bühne;ba.ʁja.tʁi
Bürge;ba.ʁja.tʁi
Bürste;byʁ.ki.na.fa.so
Bœotie;be.ɔ.si
Boeotie;be.ɔ.si
Bœotien;be.ɔ.sjɛ
Boeotien;be.ɔ.sjɛ
Baïkonour;baj.kɔ.nuʁ
Ba;ba
Baal;ba.al
Baarn;bɑʁn
Babacar;ba.ba.kaʁ
Babel;ba.bɛl
Babilon;ba.lɑ̃s.tik
