Hébé;e.be
Hébertstalois;e.bɛʁ.sta.lwa
Hébertvillien;e.bɛʁ.vi.ljɛ̃
Hébertvillois;e.bɛʁ.vi.lwa
Hébreu;ɛ.bʁø
Hébreux;e.bʁø
Hébron;e.bʁɔ̃
Hébronite;e.bʁɔ.nit
Hébronites;e.bʁɔ.nit
Hécate;e.kat
Hécatonchires;e.ka.tɔ̃.kiʁ
Hécube;e.kyb
Hédouville;e.du.vil
Hégésippe;e.ʒe.zip
Hégire;e.ʒiʁ
Hélène;e.lɛn
Hélénois;e.le.nwa
Hélie;e.li
Héliodore;e.ljo.dɔʁ
Hélion;e.ljɔ̃
Hélios;e.ljos
Hélium;e.ljɔm
Héloïse;e.lo.iz
Héloup;e.lu
Héméra;e.me.ʁa
Hémosporidies;e.mo.spɔʁ.i.di
Hénédinois;e.ne.di.nwa
Héninoise;e.ni.nwaz
Hénoch;e.nɔk
Héphaïstos;e.fa.i.stos
Héra;e.ʁa
Héraclès;ɛ.ʁak.lɛs
Héraclite;e.ʁak.lit
Hérault;e.ʁo
Hérissart;e.ʁi.saʁ
Hérissartois;e.ʁi.saʁ.twa
Hérissartoise;e.ʁi.saʁ.twaz
Hérissartoises;e.ʁi.saʁ.twaz
Hérode;ɛ.ʁɔd
Hérodiens;e.ʁɔ.djɛ̃
Hérodote;e.ʁo.dɔt
Hérodotosz;e.ʁo.dɔt
Hérouville;e.ʁu.vil
Hérouvillette;e.ʁu.vi.lɛt
Hérouvillois;e.ʁu.vi.lwa
Hérouxville;e.ʁu.vil
Hérouxvillois;e.ʁu.vi.lwa
Hésiode;e.zjɔd
Hétérodermes;e.ɡɔ.fɔ.ni
Hévarivois;e.va.ʁi.vwa
Hütte;ɑ̃ʃ.lus
Haïphong;aj.fɔ̃ɡ
Haïti;a.i.ti
Haïtien;a.i.sjɛ̃
Haïtienne;a.i.sjɛn
Haïtiennes;a.i.sjɛn
Haïtiens;a.i.sjɛ̃
Haaransatz;a.lis
Haarspaltereien;a.tiʁ.la.ʁi.ɡo
Habakkuk;o.to.bʁɑ̃.ʃə.ʁɛ
Habay;a.bɛ
Habib;a.bib
Habloville;ab.lɔ.vil
Hacke;os.tʁa.ljɛ̃
Hadès;a.dɛs
Hadéen;a.de.ɛ̃
Hadir;a.diʁ
Hadriana;e.ljɔ̃
Hadrianae;e.ljɔ̃
Hadrianam;e.ljɔ̃
Hadrianarum;e.ljɔ̃
Hadrianas;e.ljɔ̃
Hadriane;e.ljɔ̃
Hadriani;e.ljɔ̃
Hadrianis;e.ljɔ̃
Hadriano;e.ljɔ̃
Hadrianorum;e.ljɔ̃
Hadrianos;e.ljɔ̃
Hadrianum;e.ljɔ̃
Hadrien;a.dʁi.ɛ̃
Hadrumetum;a.ʁa.o.na
Hafnia;o
Hagéville;a.ʒe.vil
Hagondange;a.ɡɔ̃.dɑ̃ʒ
Hagueites;ɛ̃.tɛʁ.se.sjɔ̃
Hahnium;a.ka.ʁja.tʁi.zə.ʁɛ
Hainan;aj.nan
Hainaut;ɛ.no
Hainbuche;ɛks.te.ʁi.tɔ.ʁjal
Haine;ɛn
Haines;ɛins
Haiti;a.i.ti
Haitia;a.i.ti
Haitio;a.i.ti
Hakka;a.ka
Hakkas;a.ka
Hakken;a.kœn
Hakodate;a.ko.da.te
Hala;a.la
Halbgalopp;o.bə.ʁɔ.njɛʁ
Haleine;a.lɛn
Halifaxois;a.li.fa.kswa
Haligonien;a.li.ɡɔ.njɛ̃
Halloween;a.lɔ.win
Halluin;a.lɥɛ̃
Halluinois;a.lɥi.nwa
Halluinoise;a.lɥi.nwaz
Haltestelle;ɑ̃ʃ.lus
Halunke;aʁ.de.ʃwa
Halunkenstreich;ɛn.taj
Hamars;a.maʁ
Hamas;is.ʁa.ɛl
Hambourgeois;ɑ̃.buʁ.ʒwa
Hambourgeoise;ɑ̃.buʁ.ʒwaz
Hambourgeoises;ɑ̃.buʁ.ʒwaz
Hamelet;amlɛ
Hamiltonien;a.mil.to.njɛ̃
Hampdenois;ɑ̃p.də.nwa
Hamsudois;am.sy.dwa
Han;an
Hana;o.to.di.fy.zjɔ̃
Hancourtois;ɑ̃.kuʁ.twa
Hancourtoise;ɑ̃.kuʁ.twaz
Hancourtoises;ɑ̃.kuʁ.twaz
Handball;ɛlb
Handelsbilanz;a.ʒe
Handlung;ɑ̃.ʒwɛ̃dʁ
Handtuch;ɑ̃ʃ.lus
Handy;a.bɛl
Hanna;an
Hannah;an
Hannibal;a.bɛl
Hanoï;a.nɔj
Hanoucca;a.nu.ka
Hanoukka;a.nu.ka
Hanovre;a.nɔvʁ
Hanovrien;a.nɔ.vʁi.ɛ̃
Hanovrienne;a.nɔ.vʁi.ɛn
Hanovriennes;a.nɔ.vʁi.ɛn
Hanovriens;a.nɔ.vʁi.ɛ̃
Hans;an
Hansen;an.sɛn
Hara;a.ʁa
Hararé;a.ʁa.ʁe
Hararais;a.ʁa.ʁɛ
Harare;a.ʁa.ʁe
Haravilliers;a.ʁa.vi.lje
Harbin;aʁ.bin
Harc;aʁk
Harlem;aʁ.lɛm
Harleys;ɛ̃.tɛʁ.se.sjɔ̃
Harm;ɛn.taj
Harmlosigkeit;ɛn.taj
Harmonia;aʁ.mɔ.ni.a
Harnstein;al.ɡe.ʁwa
Harpagon;aʁ.pa.ɡɔ̃
Harpies;aʁ.pi
Harricanien;a.ʁi.ka.njɛ̃
Hartriegel;an
Haryana;a.ʁja.na
Hasel;aʁ
Haselmaus;ɛlb
Hasmonéens;as.mɔ.nɛœ̃
Hasselt;a.sɛlt
Hasseltois;a.sɛl.twa
Hastière;as.tjɛʁ
Hastier;as.tje
Hati;a.ti
Hatier;a.tje
Hatikvah;a.tik.va
Hattier;a.tje
Haufen;ɑ̃ʃ.lus
Haupt;o.aj.o
Hauptverteiler;a.la.li.zə.ʁɛ
Haus;is.tʁi.jɔ̃
Hausaufgabe;ɛlb
Hausflur;a.i.se
Hausfraus;ɛɡ.zy.ma.sjɔ̃
Hausmann;os.man
Hautefeuille;ot.fœj
Hauterive;ot.ʁiv
Hauterivien;ot.ʁi.vjɛ̃
Hauteurois;o.tœ.ʁwa
Havana;yʁ
Havas;a.vas
Havelange;av.lɑ̃ʒ
Havrais;a.vʁɛ
Hawaï;a.waj
Hawaii;a.waj
Haxe;aʁnt.fil.dwa
Hayard;a.jaʁ
Hayti;a.i.ti
Hazara;a.za.ʁa
Hazaras;a.za.ʁa
Hazebrouck;az.bʁuk
Hazoping;a.kal.mi.ne
HeLa;e.la
Hebrews;ɑ̃.tʁə.se.dɥiʁ
Hebronitae;e.min
Hebudes;ɑ̃.ti.œs.tʁɔ.ʒe.nik
Hecato;ɔl.fak.tɔ.mɛtʁ
Hecke;an
Hector;ɛk.tɔʁ
Hecuba;ɔl.fak.tɔ.mɛtʁ
Hecube;ɔl.fak.tɔ.mɛtʁ
Hecyra;ɔl.fak.tɔ.mɛtʁ
Hedessa;o.to.e.ʁi.ʒa
Hedwidgien;ɛd.wid.ʒjɛ̃
Hedwige;ɛd.viʒ
Heia;ik.tjɔ.lɔɡ
Heidelbeere;ab
Heilbutt;ɛlb
Heiler;aʁ.me.ʁi
Heimatloser;aj.mat.los
Heimspiel;ɑ̃ʃ.lus
Heizwert;ɑ̃ʃ.lus
Hejaz;e.ʒaz
Hektohenry;ø.fe.mi.za.sjɔ̃
Hel;ɛl
Hela;ɛl
Held;aʁ
Helen;an
Helenca;ɛ.ɡza.kɔ.za.nɔ.ik
Helge;ɛ.ɡza.kɔ.za.nɔ.ik
Helgo;ɛ.ɡza.kɔ.za.nɔ.ik
Hellène;ɛ.lɛn
Hellènes;ɛ.lɛn
Hellenizes;as.ti.kaʒ
Hellespont;ɛ.lɛs.pɔ̃
Helligkeit;e.tan
Helligtrekonger;e.pi.fa.ni
Hellmut;ɛ.ɡza.kɔ.za.nɔ.ik
Hellmuth;ɛ.ɡza.kɔ.za.nɔ.ik
Helmut;ɛ.ɡza.kɔ.za.nɔ.ik
Helmuth;ɛ.ɡza.kɔ.za.nɔ.ik
Helsinki;ɛl.sin.ki
Helsinkien;ɛl.sin.kjɛ̃
Helvète;ɛl.vɛt
Helvètes;ɛl.vɛt
Helvétie;ɛl.ve.si
Helvetia;ak.ʁi.mɔ.ni
Hema;ɛ.ɡza.kɔ.za.nɔ.ik
Hemi;ɛ.ɡza.kɔ.za.nɔ.ik
Hemm;al.sɛn
Hemmingfordien;ɛ.miɲ.fɔʁ.djɛ̃
Hendrika;ɛ.ɡza.kɔ.za.nɔ.ik
Henko;ɛ.ɡza.kɔ.za.nɔ.ik
Hennuyer;ɛ.nɥi.je
Hennuyers;ɛ.nɥi.je
Henotheismus;ɑ̃ʃ.lus
Henriçois;ɑ̃.ʁi.swa
Henriade;ɑ̃.ʁjad
Henrieta;ɛ.ɡza.kɔ.za.nɔ.ik
Henriette;ɑ̃.ʁjɛt
Henrih;ɛ.ɡza.kɔ.za.nɔ.ik
Henrijeta;ɛ.ɡza.kɔ.za.nɔ.ik
Henrika;ɛ.ɡza.kɔ.za.nɔ.ik
Henryvillois;ɛn.ʁe.vi.lwa
Hensching;al.sɛn
Heptan;e.tan
Heptastade;ɑ̃.sa.kə.ʁɛ
Heràclit;e.ʁak.lit
Heracleum;e.pa.vist
Heracleus;e.pa.vist
Herbergementais;ɛʁ.bɛʁ.ʒə.mɑ̃.tɛ
Herbergementaise;ɛʁ.bɛʁ.ʒə.mɑ̃.tɛz
Herbergementaises;ɛʁ.bɛʁ.ʒə.mɑ̃.tɛz
Herbert;ɛʁ.bɛʁ
Herberta;ɛ.ɡza.kɔ.za.nɔ.ik
Herbeumont;ɛʁ.bø.mɔ̃
Herbigny;ɛʁ.bi.ɲi
Herblay;ɛʁb.lɛ
Herblinoise;ɛʁb.li.nwaz
Herblinoises;ɛʁb.li.nwaz
Hercule;ɛʁ.kyl
Hercynia;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercyniae;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercyniam;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercyniarum;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercynias;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercynie;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercynii;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercyniis;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercynio;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercyniorum;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercynios;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Hercynium;ɛ̃.de.pɑ̃.dɑ̃.ti.za.sjɔ̃
Here;eol
Herefordéen;iʁ.fɔʁ.de.ɛ̃
Heri;ɛ.ɡza.kɔ.za.nɔ.ik
Heribert;ɛ.ɡza.kɔ.za.nɔ.ik
