Iahvé;ja.ve
Iakoute;ja.kut
Iakoutes;ja.kut
Iakoutie;ja.ku.ti
Iakoutsk;ja.kutsk
Ialta;jal.ta
Ianoukovitch;ja.nu.kɔ.vitʃ
Iapydes;i.dʁo.li.sjɛn
Iatseniouk;ja.tse.njuk
Ibère;i.bɛʁ
Ibères;i.bɛʁ
Ibérie;i.be.ʁi
Iber;ɛɡ.za.ɡɔ.nit
Ibercem;ism
Iberes;ɛɡ.za.ɡɔ.nit
Ibervillois;i.bɛʁ.vi.lwa
Ibiza;i.bi.sa
Ibizois;i.bi.zwa
Iblis;ib.lis
Icarien;i.ka.ʁjɛ̃
Icarienne;i.ka.ʁjɛn
Icariennes;i.ka.ʁjɛn
Icariens;i.ka.ʁjɛ̃
Icosanoide;i.kɔ.za.nɔ.id
Idéo;i.de.o
Ida;i.da
Idaho;i.da.o
Idu;il.da
Ienisea;jɛ.ni.sej
Ienisseï;jɛ.ni.sej
Ienissei;jɛ.ni.sej
Ierde;ɛ̃.fi.ni.tyd
Ifs;if
Igé;i.ʒe
Ignaçois;i.ɲa.swa
Ignace;i.ɲas
Igny;i.ɲi
Ignymontain;i.ɲi.mɔ̃.tɛ̃
Igor;i.ɡɔʁ
Iisrael;iz.ʁa.e.ljɛ̃
Iitomir;ji.tɔ.miʁ
Ijiraq;i.dʒi.ʁak
Ijssel;ɛj.səl
Ilan;i.lan
Iliade;i.ljad
Ilithyie;i.li.ti
Ille;il
Illinois;i.li.nwa
Illuga;il.da
Illugi;il.da
Ilmar;il.da
Ilmi;il.da
Ilmur;il.da
Ilodionysien;i.lo.djo.ni.zjɛ̃
Ilodionysienne;i.lo.djo.ni.zjɛn
Ilodionysiens;i.lo.djo.ni.zjɛ̃
Imaizumi;i.maj.zy.mi
Imané;i.ma.ne
Imaneh;i.ma.ne
Imer;i.miʁ
Imiras;i.miʁ
Imperativ;is.lɑ̃d
Imperia;im.pɛ.ʁja
Impfung;i.nuk
Inès;i.nɛs
In;in
Ina;il.da
Inca;ɛ̃.ka
Incas;ɛ̃.ka
Incourt;ɛ̃.kuʁ
Incourtois;ɛ̃.kuʁ.twa
