Jèrri;ʒɛʁ.zɛ
Jéhovah;ʒe.ɔ.va
Jérémie;ʒe.ʁe.mi
Jérémy;ʒe.ʁe.mi
Jérôme;ʒe.ʁom
Jéricho;ʒɛ.ʁi.ko
Jéromine;ʒe.ʁɔ.min
Jéronime;ʒe.ʁɔ.nim
Jérusalémite;ʒe.ʁy.za.le.mit
Jérusalem;ʒe.ʁy.za.lɛm
Jésuite;ʒe.zɥit
Jésuites;ʒe.zɥit
Jésus;ʒe.zy
Jétho;ʒe.tu
Jéthou;ʒe.tu
Jévissois;ʒe.vi.swa
Jac;ʒak
Jacinthe;ʒa.sɛ̃t
JackPotte;dʒak.pɔt
Jackie;ʒa.ki
Jackson;dʒak.sɔn
Jacob;ʒa.kɔb
Jacobain;ʒa.kɔ.bɛ̃
Jacobien;ja.kɔ.bjɛ̃
Jacobin;ʒa.kɔ.bɛ̃
Jacobine;ʒa.kɔ.bin
Jacobs;ʒa.kɔbs
Jacquelin;ʒak.lin
Jacqueline;ʒak.lin
Jacquelines;ʒa.ko
Jacquemard;ʒak.maʁ
Jacqueminois;ʒak.mi.nwa
Jacquerie;ʒak.ʁi
Jacquery;ʒak.ʁi
Jacquerye;ʒak.ʁi
Jacques;ʒɑk
Jacquette;ʒa.kɛt
Jacquois;ʒa.kwa
Jacquot;ʒa.ko
Jacuzzi;ʒa.ku.zi
Jade;de.le.ʒi.fɛ.ʁə.ʁɛ
Jaguar;ʒa.ɡwaʁ
Jahrzehnt;de.se.ni
Jakarta;ʒa.kaʁ.ta
Jal;ʒal
Jallois;ʒa.lwa
Jalois;ʒa.lwa
Jamésie;ʒa.me.zi
Jamésien;ʒa.me.zjɛ̃
Jamaïcain;ʒa.ma.i.kɛ̃
Jamaïcaine;ʒa.ma.i.kɛn
Jamaïcaines;ʒa.ma.i.kɛn
Jamaïcains;ʒa.ma.i.kɛ̃
Jamaïquain;ʒa.ma.i.kɛ̃
Jamaïque;ʒa.ma.ik
James;dʒɛms
Jamet;ʒa.mɛ
Jamette;ʒa.mɛt
Jammes;ʒam
Jandunoises;ʒɑ̃.dy.nwaz
Janicule;ʒa.ni.kyl
Janjawid;dʒan.dʒa.wid
Janjawids;dʒan.dʒa.wid
Janssens;jan.sɛns
Janville;ʒɑ̃.vil
Janvry;ʒɑ̃.vʁi
Jap;ʒap
Japet;ʒa.pɛ
Japhet;ʒa.fe
Japon;ʒa.pɔ̃
Japonais;ʒa.pɔ.nɛ
Japonaise;ʒa.pɔ.nɛz
Japonaises;ʒa.pɔ.nɛz
Jarnac;ʒaʁ.nak
Jarnsaxa;jaʁn.sak.sa
Jasmin;ʒas.mɛ̃
Jasmine;ʒas.min
Jason;ʒa.zɔ̃
Jaunassiennes;ʒo.na.sjɛn
Java;ʒa.va
JavaScript;ʒa.va.skʁipt
Javanais;ʒa.va.nɛ
Javanaise;ʒa.va.nɛz
Javanaises;ʒa.va.nɛz
Javascript;ʒa.va.skʁipt
Javernantais;ʒa.vɛʁ.nɑ̃.tɛ
Javernantaise;ʒa.vɛʁ.nɑ̃.tɛz
Javernantaises;ʒa.vɛʁ.nɑ̃.tɛz
Jean;ʒɑ̃
Jeanne;ʒan
Jeannedarcois;ʒan.daʁ.kwa
Jeannette;ʒa.nɛt
Jeannin;ʒa.nɛ̃
Jeannine;ʒa.nin
Jeannois;ʒa.nwa
Jeannon;ʒa.nɔ̃
Jeannot;ʒa.no
Jeanois;ʒa.nwa
Jefferson;ʒɛ.fɛʁ.sɔn
Jehovah;ʒe.ɔ.va
Jemmapes;ʒɛ.map
Jenifer;ʒɛ.ni.fɛʁ
Jenique;ʒə.nik
Jenné;dʒɛ.ne
Jennifer;ʒɛ.ni.fɛʁ
Jerusalém;ʒe.ʁy.za.lɛm
Jerusalén;ʒe.ʁy.za.lɛm
Jerusalem;ʒe.ʁy.za.lɛm
Jeruzalém;ʒe.ʁy.za.lɛm
Jeruzalem;ʒe.ʁy.za.lɛm
Jess;ʒɛs
Jessica;ʒɛ.si.ka
Jethou;ʒe.tu
Jettois;ʒɛ.twa
Jeux;ʒø
Jharkhand;dʒaʁ.kɑ̃d
Jihu;ʒi.u
Jihun;ʒi.un
Jill;ʒɛ.si.ka
Jim;dʒe.sɔn
Jims;de.mɔ̃
Jitomir;ʒi.tɔ.miʁ
Joé;ʒɔ.e
Joël;jɔ.ɛl
Joëlle;ʒɔ.el
Joachim;ʒɔ.a.ʃɛ̃
Joachimien;ʒɔ.a.ʃi.mjɛ̃
Joan;ʒo.an
Joanne;ʒɔ.an
Joannie;ʒɔ.a.ni
Job;ʒɔb
Jobs;dʒɔbs
Joceline;ʒɔs.lin
Jocelyn;ʒo.se.lɛ̃
Jocelyne;ʒɔs.lin
Joconde;ʒɔ.kɔ̃d
Joffre;ʒɔfʁ
Johanna;ʒɔ.a.na
Johannais;ʒɔ.a.nɛ
Johanne;ʒo.an
Johannois;ʒɔ.a.nwa
Johnson;dʒɔn.sɔn
Jojo;ʒo.ʒo
Jolyen;ʒɔ.ljɛ̃
Jonas;ʒɔ.nas
Jonathan;ʒɔ.na.tɑ̃
Jonzac;ʒɔ̃.zak
Jordan;ʒɔʁ.dan
Jordana;ʒɔʁ.da.na
Jordane;ʒɔʁ.dan
Jordani;ʒɔʁ.dan
Jordanie;ʒɔʁ.da.ni
Jordanien;jɔʁ.da.njɛ̃
Jordanienne;jɔʁ.da.njɛn
Jordaniennes;jɔʁ.da.njɛn
