Lælie;le.li
Læticia;le.ti.sja
Lætitia;le.ti.sja
Léa;lea
Léandais;le.ɑ̃.dɛ
Léane;le.an
Léanne;le.an
Léaupartie;leo.paʁ.ti
Léba;le.ba
Lécaude;le.kod
Léda;le.da
Lédy;le.di
Lée;le
Léger;le.ʒe
Légion;le.ʒjɔ̃
Législateur;le.ʒis.la.tœʁ
Législateurs;le.ʒi.sla.tœʁ
Législative;le.ʒis.la.tiv
Législatives;le.ʒis.la.tiv
Léglise;le.ɡliz
Léman;le.mɑ̃
Lémurie;le.my.ʁi
Léna;le.na
Lénault;le.no
Lénine;le.nin
Léningrad;le.nin.ɡʁad
Léo;le.o
Léobinien;le.ɔb.in.jɛ̃
Léodegarien;le.ɔ.də.ɡaʁ.jɛ̃
Léon;le.ɔ̃
Léona;le.ɔ.na
Léonais;le.ɔ.nɛ
Léonaise;le.ɔ.nɛz
Léonaises;le.ɔ.nɛz
Léonard;le.ɔ.naʁ
Léonardais;le.o.naʁ.dɛ
Léonardien;le.o.naʁ.djɛ̃
Léonardois;le.o.naʁ.dwa
Léonce;leɔ̃s
Léongrandien;le.ɔ̃.ɡʁɑ̃.ɛ̃
Léonid;le.ɔ.nid
Léonidas;le.o.ni.das
Léonie;leɔ.ni
Léonine;leɔ.nin
Léonistes;le.o.nist
Léonore;le.ɔ.nɔʁ
Léontopolis;le.ɔ̃.to.pɔ.lis
Léopard;le.ɔ.paʁ
Léopold;le.ɔ.pɔl
Léopoldville;le.ɔ.pɔl.vil
Léraba;le.ʁa.ba
Léthé;le.te
Létra;le.tʁa
Lévêque;le.vɛk
Lévantine;le.vɑ̃.tin
Lévesque;le.vɛk
Lévi;le.vi
Léviathan;le.vja.tɑ̃
Lévis;le.vi
Lévisien;le.vi.zjɛ̃
Lévitique;le.vi.tik
Lévy;le.vi
Lévypointois;le.vi.pwɛ̃.twa
Lézard;le.zaʁ
Lübeck;ly.bɛk
Lüstling;la.tɛk
Laëtitia;le.ti.sja
Laïla;la.ila
Laïus;la.jys
LaCroisien;lak.ʁwa.zjɛ̃
LaTeX;la.tɛk
Labbeville;lab.vil
Labellois;la.bɛ.lwa
Labor;la.tɛk
Laborelois;la.bɔ.ʁɛ.lwa
Labouquerie;la.buk.ʁi
Labourd;la.buʁ
Labrador;la.bʁa.dɔʁ
Labradorien;la.bʁa.dɔ.ʁjɛ̃
