Nàcher;ɛ.ɡɥi.jɔ.ɲe
Néandertal;ne.an.dɛʁ.tal
Néandertals;ne.an.dɛʁ.tal
Néanderthalienne;ne.ɑ̃.dɛʁ.ta.ljɛn
Néanderthaliennes;ne.ɑ̃.dɛʁ.ta.ljɛn
Néanderthaliens;ne.ɑ̃.dɛʁ.ta.ljɛ̃
Nébiélianayou;ne.bje.lja.na.ju
Nébulasit;nɔ.bi.li.te
Nécy;ne.si
Nédélecois;ne.de.lɛ.kwa
Néerlandais;ne.ɛʁ.lɑ̃.dɛ
Néerlandaise;ne.ɛʁ.lɑ̃.dɛz
Néerlandaises;ne.ɛʁ.lɑ̃.dɛz
Néerlande;ne.ɛʁ.lɑ̃d
Négrito;ne.ɡʁi.to
Némésis;ne.me.zis
Néoarchéen;ne.o.aʁ.ke.ɛ̃
Néocalédonien;ne.ɔ.ka.le.dɔ.njɛ̃
Néogène;ne.ɔ.ʒɛn
Néoguinéen;ne.ɔ.ɡi.ne.ɛ̃
Néoguinéenne;ne.ɔ.ɡi.ne.ɛn
Néoguinéennes;ne.ɔ.ɡi.ne.ɛn
Néoguinéens;ne.ɔ.ɡi.ne.ɛ̃
Néolithique;ne.ɔ.li.tik
Néolithiques;ne.ɔ.li.tik
Néoprotérozoïque;ne.op.ʁɔ.te.ʁo.zɔ.ik
Néozélandais;ne.o.ze.lɑ̃.dɛ
Néozélandaise;ne.o.ze.lɑ̃.dɛz
Néozélandaises;ne.o.ze.lɑ̃.dɛz
Népâlaise;ne.pa.lɛz
Népâlaises;ne.pa.lɛz
Népal;ne.pal
Népalais;ne.pa.lɛ
Népalaise;ne.pa.lɛ
Népalaises;ne.pa.lɛ
Népawasien;ne.pa.wa.zjɛ̃
Néper;ne.pɛʁ
Nérée;ne.ʁe
Néréen;ne.ʁe.ɛ̃
Néréide;ne.ʁe.id
Néréides;ne.ʁe.id
Nérac;ne.ʁak
Néracaise;ne.ʁa.kɛz
Néracaises;ne.ʁa.kɛz
Néso;ne.zo
Nîmes;nim
Nîmoise;ni.mwaz
Nîmoises;ni.mwaz
Nœud;nø
Noeud;nø
Naïade;na.jad
Naïm;na.im
Naïma;na.i.ma
NaK;nak
Nabas;nabas
Nabatéen;na.ba.te.ɛ̃
Nabatéens;na.ba.te.ɛ̃
Naboo;na.bu
Nabor;na.bɔʁ
Nabuchodonosor;na.by.kɔ.dɔ.nɔ.zɔʁ
Nacéra;na.se.ʁa
Nacer;na.sɛʁ
Nachttisch;nwa.jo.taʒ
Nacktmull;na.sjɔ.nal
Nadège;na.dɛʒ
Nada;na.da
Nadia;na.dja
Nadine;na.din
Nadowésipiwini;na.dɔ.we.si.pi.wi.ni
Naffa;nafa
Nagaland;na.ɡa.lɑ̃d
Nagasaki;na.ɡa.sa.ki
Nageol;na.ʒɔl
Nageolle;na.ʒɔl
Nageolles;na.ʒɔl
Nageols;na.ʒɔl
Nagoya;na.ɡɔ.ja
Nagra;na.ɡʁa
Nahel;na.ɛl
Nahouri;nau.ʁi
Nahuatl;na.watl
Naia;ni.fə.ʁɛ
Naima;na.i.ma
Nairobi;nɛ.ʁɔ.bi
Najat;na.ʒat
Nako;na.ko
Nambikwara;nɑ̃.bi.kwa.ʁa
Namibia;na.mi.bjɛ̃
Namibie;na.mi.bi
Namibien;na.mi.bjɛ̃
Namibienne;na.mi.bjɛn
Namibiennes;na.mi.bjɛn
Namibiens;na.mi.bjɛ̃
Namounou;na.mu.nu
Namurien;na.my.ʁjɛ̃
Namurois;na.my.ʁwa
Namuroise;na.my.ʁwaz
Namuroises;na.my.ʁwaz
Nana;na.na
Nanard;na.naʁ
Nancéien;nɑ̃.se.jɛ̃
Nancéienne;nɑ̃.se.jɛn
Nancéiennes;nɑ̃.se.jɛn
Nancéiens;nɑ̃.se.jɛ̃
Nanceium;nɑ̃.si
Nancy;nɑ̃.si
Nande;nɑ̃d
Nankin;nɑ̃.kɛ̃
Nanna;na.na
Nanoro;na.nɔ.ʁɔ
Nantais;nɑ̃.tɛ
Nantaise;nɑ̃.tɛz
Nantaises;nɑ̃.tɛz
Nanterre;nɑ̃.tɛʁ
Nantes;nɑ̃t
Nantiat;nɑ̃.tja
Nantua;nɑ̃.tɥa
Naomi;na.ɔ.mi
Naomie;na.ɔ.mi
Naourou;nau.ʁu
Napels;napl
Napiervillois;na.pjɛʁ.vi.lwa
Naples;napl
Napoléon;na.pɔ.le.ɔ̃
Napoléons;na.pɔ.le.ɔ̃
Napoli;napl
Napolitain;na.pɔ.li.tɛ̃
Napolitaines;na.pɔ.li.tɛn
Napolitains;na.pɔ.li.tɛ̃
Nara;na.ʁa
Narbo;naʁ.bɔn
Narbona;naʁ.bɔn
Narbonne;naʁ.bɔn
Narcisse;naʁ.sis
Narcissien;naʁ.si.sjɛ̃
Narcissois;naʁ.si.swa
Narcyssoises;naʁ.si.swaz
Narfa;na.na
Narfi;na.na
Narvi;naʁ.vi
Nashi;na.ɔ.mi
Nasia;na.sja
Nasro;nas.ʁo
Nasséré;na.se.ʁe
Nassau;na.so
Nassavien;na.sa.vjɛ̃
Nassoumbou;na.sum.bu
Nata;na.ta
Natacha;na.ta.ʃa
Natalie;na.na
Natan;na.na
Natanael;na.na
Natans;na.na
Natasha;na.ta.ʃa
Natashquanais;na.taʃ.kwa.nɛ
Nathalie;na.ta.li
Nathan;na.tɑ̃
Nathanaèle;na.ta.na.ɛl
Nathanaël;na.ta.na.ɛl
Nathanaëlle;na.ta.na.ɛl
Nathanael;na.ta.na.ɛl
Nathaniel;na.ta.njɛl
Nathanielle;na.ta.njɛl
Nation;na.sjɔ
Nationalhymne;na.ɔ.mi
Nativité;na.ti.vi.te
Nauru;nau.ʁu
Nauruan;nau.ʁuɑ̃
Nauruane;nau.ʁuɑn
Nauruisch;na.ɔ.mi
Navarre;na.vaʁ
Navessol;na.vɛ.sɔl
Navessolle;na.vɛ.sɔl
Navessolles;na.vɛ.sɔl
