Ubaldien;y.bal.djɛ̃
Ubu;yby
Uccle;ykl
Ucrânia;yk.ʁɛn
Udine;y.din
Ugandans;y.psi.lɔn
Ukraine;yk.ʁɛn
Ukrainien;yk.ʁɛ.njɛ̃
Ukrainienne;yk.ʁɛ.njɛn
Ukrainiennes;yk.ʁɛ.njɛn
Ukrainiens;yk.ʁɛ.njɛ̃
Ulricois;yl.ʁi.ka
Ulster;œl.stœʁ
Ulvertonien;yl.vɛʁ.tɔ.njɛ̃
Ulvertonois;yl.vɛʁ.tɔ.nwa
Ulysse;y.lis
Unasur;y.na.syʁ
Unb;y.nil.tʁi.jɔm
Uniassien;y.nja.sjɛ̃
Uniassienne;y.nja.sjɛn
Uniassiens;y.nja.sjɛ̃
Unifolié;y.ni.fɔ.lje
Univers;y.ni.vɛʁ
Untel;œ̃.tɛl
Untriunium;œ̃.tʁi.y.njɔm
Unu;y.nil.tʁi.jɔm
Ur;yʁ
Urania;y.ʁi
Uranie;y.ʁa.ni
Uranus;y.ʁa.nys
Urbain;yʁ.bɛ̃
Urbaine;yʁ.bɛn
Urbanistes;yʁ.ba.nist
Ureno;y.ʁe.ys
Uri;y.ʁi
Uriménil;y.ʁi.me.nil
Urio;y.ʁi
Ursula;yʁ.sy.la
Ursule;yʁ.syl
Ursulois;yʁ.sy.lwa
Uruguéen;y.ʁy.ɡwe.ɛ̃
Uruguéenne;y.ʁy.ɡe.ɛn
Uruguéennes;y.ʁy.ɡe.ɛn
Uruguéens;y.ʁy.ɡe.ɛ̃
Uruguay;y.ʁy.ɡwe
Uruguayan;y.ʁy.ɡwa.jɛ̃
Uruguayans;y.ʁy.ɡwa.jɛ̃
Uruguayen;y.ʁy.ɡwa.jɛ̃
Uruguayenne;y.ʁy.ɡwa.jɛ̃
Uruguayennes;y.ʁy.ɡwa.jɛn
Uruguayens;y.ʁy.ɡwa.jɛ̃
Urville;yʁ.vil
Us;ys
Usenet;juz.nɛt
User;y.ze
Ussel;y.sɛl
Ussy;y.si
Utah;yta
Utu;œ̃.tʁi.y.njɔm
Uue;y.ny.ne.njɔm
Uun;y.nil.kwa.djɔm
Uuu;y.nil.kwa.djɔm
Uxelles;yk.sɛl
Uzès;y.zɛs
Uzemain;y.zə.mɛ̃
u;y
ua;y.a
ubérale;y.be.ʁal
ubérales;y.be.ʁal
ubac;y.bak
uberifier;y.bɛ.ʁi.fje
uberiser;y.bɛ.ʁi.ze
uberté;y.bɛʁ.te
ubiquiste;y.bi.kɥist
ubiquitâmes;y.bi.kwi.tam
ubiquitât;y.bi.kwi.ta
ubiquitâtes;y.bi.kwi.tat
ubiquitèrent;y.bi.kwi.tɛʁ
ubiquité;y.bi.kɥi.te
ubiquitée;y.bi.kwi.te
ubiquitées;y.bi.kwi.te
ubiquités;y.bi.kwi.te
ubiquita;y.bi.kwi.ta
ubiquitai;y.bi.kwi.te
ubiquitaient;y.bi.kwi.tɛ
ubiquitaire;y.bi.kɥi.tɛʁ
ubiquitais;y.bi.kwi.tɛ
ubiquitait;y.bi.kwi.tɛ
ubiquitant;y.bi.kwi.tɑ̃
ubiquitas;y.bi.kwi.ta
ubiquitasse;y.bi.kwi.tas
ubiquitassent;y.bi.kwi.tas
ubiquitasses;y.bi.kwi.tas
ubiquitassiez;y.bi.kwi.ta.sje
ubiquitassions;y.bi.kwi.ta.sjɔ̃
ubiquite;y.bi.kwit
ubiquitent;y.bi.kwit
ubiquiter;y.bi.kɥi.te
ubiquitera;y.bi.kwi.tə.ʁa
ubiquiterai;y.bi.kwi.tə.ʁe
ubiquiteraient;y.bi.kwi.tə.ʁɛ
ubiquiterais;y.bi.kwi.tə.ʁɛ
ubiquiterait;y.bi.kwi.tə.ʁɛ
ubiquiteras;y.bi.kwi.tə.ʁa
ubiquiterez;y.bi.kwi.tə.ʁe
ubiquiteriez;y.bi.kwi.tə.ʁje
ubiquiterions;y.bi.kwi.tə.ʁjɔ̃
ubiquiterons;y.bi.kwi.tə.ʁɔ̃
ubiquiteront;y.bi.kwi.tə.ʁɔ̃
ubiquites;y.bi.kwit
ubiquitez;y.bi.kwi.te
ubiquitiez;y.bi.kwi.tje
ubiquitinâmes;y.bi.kɥi.ti.nam
ubiquitinât;y.bi.kɥi.ti.na
ubiquitinâtes;y.bi.kɥi.ti.nat
ubiquitinèrent;y.bi.kɥi.ti.nɛʁ
ubiquitiné;y.bi.kɥi.ti.ne
ubiquitinée;y.bi.kɥi.ti.ne
ubiquitinées;y.bi.kɥi.ti.ne
ubiquitinés;y.bi.kɥi.ti.ne
ubiquitina;y.bi.kɥi.ti.na
ubiquitinai;y.bi.kɥi.ti.ne
ubiquitinaient;y.bi.kɥi.ti.nɛ
ubiquitinais;y.bi.kɥi.ti.nɛ
ubiquitinait;y.bi.kɥi.ti.nɛ
ubiquitinant;y.bi.kɥi.ti.nɑ̃
ubiquitinas;y.bi.kɥi.ti.na
ubiquitinasse;y.bi.kɥi.ti.nas
ubiquitinassent;y.bi.kɥi.ti.nas
ubiquitinasses;y.bi.kɥi.ti.nas
ubiquitinassiez;y.bi.kɥi.ti.na.sje
ubiquitinassions;y.bi.kɥi.ti.na.sjɔ̃
ubiquitine;y.bi.kɥi.tin
ubiquitinent;y.bi.kɥi.tin
ubiquitiner;y.bi.kɥi.ti.ne
