Wabanaki;wa.ba.na.ki
Wagadugu;wa.ɡa.du.ɡu
Wahabite;wa.a.bit
Wahabites;wa.a.bit
Wahhabite;wa.a.bit
Wahhabites;wa.a.bit
Waimerais;wem.ʁɛ
Waimes;wem
Waka;wa.ka
Wakefieldien;wek.fil.djɛ̃
Walachie;wa.la.ʃi
Waldenser;wal.tɛʁ
Walhain;wa.lɛ̃
Walhalla;val.a.la
Walia;wa.lis
Walkyrie;val.ki.ʁi
Wallis;wa.lis
Wallon;wa.lɔ̃
Wallonie;wa.lɔ.ni
Wallonne;wa.lɔn
Wallonnes;wa.lɔn
Wals;wa.lis
Walter;wal.tɛʁ
Walthameux;wal.ta.mø
Walther;wal.tɛʁ
Wampanoag;wam.pa.nɔ.aɡ
Wampanoags;wam.pa.nɔ.aɡ
Wanda;wɑ̃.da
Wang;wɑ̃ɡ
Wanze;dyl.sakɥi.kɔl
Waremme;wa.ʁɛm
Warner;waʁ.nœʁ
Warri;wa.ʁi
Warwickois;waʁ.wi.kwa
Washtawokien;waʃ.ta.wɔ.kjɛ̃
Wasselonne;vas.lɔn
Watanabe;wa.ta.na.be
Waterlois;wa.tɛʁ.lwa
Waterloo;wa.tɛʁ.lo
Waterloois;wa.tɛʁ.lo.wa
Waterlootois;wa.tɛʁ.lo.twa
Watervillois;wa.tɛʁ.vi.lwa
Watsheshouan;wa.tʃe.ʃwɑ̃
Wattrelos;wa.tʁə.lo
Wattrelosien;wa.tʁə.lo.zjɛ̃
Wattrelosienne;wa.tʁə.lo.zjɛn
Waudrez;wo.dʁe
Waver;wavʁ
Wavre;wavʁ
Wayampi;wa.jɑ̃.pi
Wayampie;wa.jɑ̃.pi
Wayampies;wa.jɑ̃.pi
Wayampis;wa.jɑ̃.pi
Waziristan;wa.zi.ʁis.tɑ̃
Web;wɛb
Weedonnais;wi.dɔ.nɛ
Weg;dy.ʁe
Wehrmacht;vɛʁ.maʁt
Weisheit;ve.lɔs
Weitbruch;vajt.bʁuʁ
Weltreise;wal.tɛʁ
Wembley;wɛmb.lɛ
Wemotaci;we.mo.ta.ʃi
Wen;wɛn
Wenceslois;wɛn.sɛs.lwa
Wendats;wɛn.dat
Wendy;wɛn.di
Wereldhandelorganisatie;de.si.mɑ̃.tə.ʁɛ
Westburyen;wɛst.bœ.ʁe.ɛ̃
Westphalie;wɛst.fa.li
Westphalien;wɛst.fa.ljɛ̃
Westphalienne;vɛs.tfa.ljɛn
Westphaliennes;vɛs.tfa.ljɛn
Westphaliens;vɛs.tfa.ljɛ̃
Whittonnais;wi.tɔ.nɛ
Wichnou;vi.ʃnu
Wiciadur;dɥɛ.tist
Wickhamois;wi.ka.mwa
Wiedehopf;dyl.sakɥi.kɔl
Wien;vjɛn
Wii;wi.i
Wijnaldum;wɛj.nal.dœm
Wikilivres;wi.ki.livʁ
Wikimédia;wi.ki.me.dja
Wikimedia;wi.ki.me.dja
Wikipédia;wi.ki.pe.dja
Wikipédie;wi.ki.pe.di
Wikiquote;wi.ki.kɔt
Wikiquotes;wi.ki.kɔt
Wikisource;wi.ki.suʁs
Wikisources;wi.ki.suʁs
Wikispecies;wi.ki.spe.siz
Wikiversité;wi.ki.vɛʁ.si.te
Wikivoyage;wi.ki.vwa.jaʒ
Wiktionnaire;wik.sjɔ.nɛʁ
Wiktionnaires;wik.sjɔ.nɛʁ
Wilfrid;wil.fʁid
Wilfried;wil.fʁid
Willems;wi.lɛms
William;wi.ljam
Wilson;wil.sɔn
Winchester;win.tʃɛs.tɛʁ
Windaube;win.dob
Windhoek;win.duk
Windows;win.doz
Windsorois;win.dzɔ.ʁwa
Wirbel;dyl.sakɥi.kɔl
Wisconsin;wi.skɔn.sin
Wisigoth;vi.zi.ɡo
Wissant;wi.sɑ̃
Wissembourg;vi.sɑ̃.buʁ
Wissous;vi.su
Witwenstand;dis.kɔ̃.tak.tœʁ
Wladislav;v.la.dis.lav
Wladislaw;v.la.dis.lav
Wladiwostok;v.la.di.vɔs.tɔk
Woburnois;wo.byʁ.nwa
Wolofe;wɔ.lɔf
Wolofes;wɔ.lɔf
Wolofs;wɔ.lɔf
Wolusanpétrusien;wɔ.ly.sɑ̃.pe.tʁy.sjɛ̃
Wolusanpétrusienne;wɔ.ly.sɑ̃.pe.tʁy.sjɛn
Wolusanpétrusiennes;wɔ.ly.sɑ̃.pe.tʁy.sjɛn
Wolusanpétrusiens;wɔ.ly.sɑ̃.pe.tʁy.sjɛ̃
Woluwe;wɔ.ly.we
Wong;wɔ̃ɡ
Wookiee;wu.ki
Worcester;wus.tœʁ
Worcestershire;wus.tœʁ.ʃœʁ
Wordien;wɔʁ.djɛ̃
Wottonnais;wɔ.tɔ.nɛ
Wottonnien;wɔ.tɔ.njɛ̃
Wouters;wu.tɛʁs
Wu;wy
wébunion;wɛ.by.njɔ̃
wébunions;wɛ.by.njɔ̃
würm;vyʁm
würmien;vyʁ.mjɛ̃
würmienne;vyʁ.mjɛn
würmiennes;vyʁ.mjɛn
würmiens;vyʁ.mjɛ̃
w;w
waï;waj
waïgali;wa.i.ɡa.li
waabnigiishwesiins;du.bœʁ
waag;vɔl
waar;vɔl
waard;vɛʁ
waarde;vɔl
waardebon;vɛʁ
waardeloos;wa.tɛʁp.ʁuf
waarnemen;de.sə.labl
waarnemend;de.sə.labl
waarom;vɔl
waarru;de.si.nɔ.ni.mi.ze
waarschuwing;wa.tɛʁp.ʁuf
waaslandien;was.lɑ̃.djɛ̃
waaslandiens;was.lɑ̃.djɛ̃
wabbles;dɥa.liz
wacaï;wa.kaj
wacapou;wa.ka.pu
wack;wak
wacoua;wa.kwa
wael;vi.mɔ̃.twa
waele;vi.mɔ̃.twa
waeslandien;was.lɑ̃.djɛ̃
waeslandienne;was.lɑ̃.djɛn
waeslandiennes;was.lɑ̃.djɛn
waeslandiens;was.lɑ̃.djɛ̃
wafer;wɛ.fœʁ
wafers;wɛ.fœʁ
wafters;dʁink
wag;vɔl
wagenschot;wa.tɛʁp.ʁuf
wagerers;wip.kɔʁd
waggart;wa.ɡaʁt
waggoners;wip.kɔʁd
wagites;wɛʃ
wagnérienne;vaɡ.ne.ʁjɛn
wagnériennes;vaɡ.ne.ʁjɛn
wagnériens;vaɡ.ne.ʁjɛ̃
wagon;va.ɡɔ̃
wagonnée;va.ɡɔ.ne
wagonnage;va.ɡɔ̃.naʒ
wagonnets;va.ɡɔ.nɛ
wagonnette;va.ɡɔ.nɛt
wagonnettes;va.ɡɔ.nɛt
wagonnier;da.ko.it
wagons;va.ɡɔ̃
wagujé;daʁ.ma
wahabisâmes;wa.a.bi.zam
wahabisât;wa.a.bi.za
wahabisâtes;wa.a.bi.zat
wahabisèrent;wa.a.bi.zɛʁ
wahabisé;wa.a.bi.ze
wahabisée;wa.a.bi.ze
wahabisées;wa.a.bi.ze
wahabisés;wa.a.bi.ze
wahabisa;wa.a.bi.za
wahabisai;wa.a.bi.ze
wahabisaient;wa.a.bi.zɛ
wahabisais;wa.a.bi.zɛ
wahabisait;wa.a.bi.zɛ
wahabisant;wa.a.bi.zɑ̃
wahabisas;wa.a.bi.za
wahabisasse;wa.a.bi.zas
wahabisassent;wa.a.bi.zas
wahabisasses;wa.a.bi.zas
wahabisassiez;wa.a.bi.za.sje
wahabisassions;wa.a.bi.za.sjɔ̃
wahabise;wa.a.biz
wahabisent;wa.a.biz
