Yé;je
Yédo;je.do
Yéménite;je.me.nit
Yémen;je.mɛn
Yéniche;je.niʃ
Yéniches;je.niʃ
Yézidi;je.zi.di
Yézidis;jə.zi.di
Yaçna;ja.sna
Yaba;ja.ba
Yagi;ja.ɡi
Yah;ja
Yahia;ja.ja
Yaho;jaɔ
Yahvé;ja.ve
Yahweh;ja.ve
Yahwistic;ja.ve
Yaka;ja.ka
Yakas;ja.ka
Yako;ja.ko
Yakoma;ja.ko.ma
Yakoute;ja.kut
Yakoutie;ja.ku.ti
Yakoutien;ja.ku.tjɛ̃
Yakoutsk;ja.kutsk
Yalta;jal.ta
Yamachiche;ja.ma.ʃiʃ
Yamachichois;ja.ma.ʃi.ʃwa
Yamaskois;ja.mas.kwa
Yamoussoukro;ja.mu.suk.ʁo
Yang;jɑ̃ɡ
Yanis;ja.nis
Yankee;jɑ̃.ki
Yann;jan
Yannick;ja.nik
Yanoukovytch;ja.nu.kɔ.vitʃ
Yaoundé;ja.un.de
Yaren;ja.ʁɛn
Yarmouk;jaʁ.muk
Yasmin;jas.min
Yasmina;jas.mi.na
Yasmine;jas.min
Yasser;ja.sɛʁ
Yatu;ɛ̃.fi.ni.tyd
Yazidi;ja.zi.di
Yazidis;ja.zi.di
Yemenites;ɛɡ.zy.ma.sjɔ̃
Yeniséi;jɛ.ni.sej
Yenisei;jɛ.ni.sej
Yer;ɛ̃.fi.ni.tyd
Yerres;jɛʁ
Yhwh;ja.ve
Yi;ji
Yiddish;ɛʁ.mjɛ̃
Ykat;jɔ.ta.ka.tal
Ylane;i.lan
Ylm;jɔ.ta.ly.mɛn
Yme;i.miʁ
Ymer;i.miʁ
Ymir;i.miʁ
Yoann;jo.an
Yokohama;jo.ko.a.ma
Yokoyama;jɔ.kɔ.ja.ma
Yolande;jɔ.lɑ̃d
Yonnais;jɔ.nɛ
Yonnaise;jɔ.nɛz
Yonnaises;jɔ.nɛz
Yonne;jɔn
York;jɔʁk
Yoshizawa;jɔ.ʃi.za.wa
Yougoslave;ju.ɡɔ.slav
Yougoslavie;ju.ɡɔ.sla.vi
Yprésien;ip.ʁe.zjɛ̃
Ypres;ipʁ
Yprois;ip.ʁwa
Yrad;jɔ.ta.ʁa.djɑ̃
Ys;is
Yssel;i.sɛl
Yssingeaux;i.sɛ̃.ʒo
Yucatèque;jy.ka.tɛk
Yuki;ju.ki
Yukon;ju.kɔ̃
Yukonnais;jy.kɔ.nɛ
Yukonnaise;jy.kɔ.nɛz
Yukonnaises;jy.kɔ.nɛz
Yule;jul
Yuqins;i.pɛʁ.nɔ.va
Yuqui;ju.ki
Yvelines;iv.lin
Yves;iv
Yvette;i.vɛt
Yvoir;i.vwaʁ
Yvoire;i.vwaʁ
Yvoirien;i.vwa.ʁjɛ̃
Yvoirienne;i.vwa.ʁjɛn
Yvoiriennes;i.vwa.ʁjɛn
Yvoiriens;i.vwa.ʁjɛ̃
Yvois;i.vwa
Yvon;i.vɔ̃
Yvonne;i.vɔn
Yvrandais;i.vʁɑ̃d
Yvrandaise;i.vʁɑ̃d
Yvrandaises;i.vʁɑ̃d
Yvrandes;i.vʁɑ̃d
yàmbaa;ja
yèble;jɛbl
yèbles;jɛbl
yéet;ja
yéménique;je.me.nik
yéméniques;je.me.nik
yéménite;je.me.nit
yéménites;je.me.nit
yéniche;je.niʃ
yénite;i.e.ni.t
yéti;je.ti
yétis;je.ti
yéyé;je.je
yéyées;je.je
yéyéfication;je.je.fi.ka.sjɔ̃
yéyés;je.je
yézidi;je.zi.di
yézidie;je.zi.di
yézidies;je.zi.di
yézidis;je.zi.di
yézidisme;je.zi.dism
yêu;ɛks.la.ʃa.pɛl
yëre;ja
yôghi;jɔ.ɡi
yôon;jɔ.ɔn
yôons;jɔ.ɔn
y;i
yGy;jɔ.ta.ɡʁe
yH;jɔ.ta.ɑ̃.ʁi
yHz;ɛɡ.za.ɛʁts
yS;jɔk.to.si.mɛns
ySv;jɔk.to.si.vɛʁt
yT;jɔ.ta.tɛs.la
yV;jɔk.to.vɔlt
yWb;jɔk.to.ve.bɛʁ
yaa;ja
yaakaar;ja
yaay;ja
yable;jɑbl
yac;jak
yacaré;ja.ka.ʁe
yacarés;ja.ka.ʁe
yach;jaʃ
yache;jaʃ
yacht;jɔt
yachtings;ɛɡ.zy.ma.sjɔ̃
yachtmen;jɔt.mɛn
yachts;jɔt
yachtsman;jo.an
yachtswoman;jo.an
yachtwoman;jɔt.vu.man
yack;jak
yackières;jak.jɛʁ
yackier;jak.je
yackiers;jak.je
yacouba;jɔ.ʁu.ba
yacs;iak
yacti;ɛ̃p.li.ka.tyʁ
yafkan;ɛp.nɔ̃
yak;jak
yaka;ja.ka
yakafokon;ja.ka.fo.kɔ̃
yakan;ɛɡ.za.e.lɛk.tʁɔ̃.vɔlt
yakas;ja.ka
yakitori;ja.ki.tɔ.ʁi
yakitoris;ja.ki.tɔ.ʁi
yakoute;ja.kut
yakoutes;ja.kut
yakoutien;ja.ku.tjɛ̃
yakoutienne;ja.ku.tjɛn
yakoutiennes;ja.ku.tjɛn
yakoutiens;ja.ku.tjɛ̃
yakshanba;ɛk.spe
yakusa;ja.ku.za
yakusas;ja.ky.za
yakuza;ja.ky.za
yakuzas;ja.ky.za
yalis;ja.li
yam;jam
yamachichois;ja.ma.ʃi.ʃwa
yamakasi;ja.ma.ka.si
yamakasis;ja.ma.ka.si
yamba;jam.ba
yambas;jam.ba
yambassas;jam.ba.sa
yaminahua;ja.mi.na.wa
yaminawa;ja.mi.na.wa
yams;jam
yamtchik;jam.tʃik
yamtchiks;jam.tʃik
yana;ja.na
yang;jɑ̃ɡ
yankee;jɑ̃n.ki
yankiste;jɑ̃.kist
yankistes;jɑ̃.kist
yantra;jɑ̃n.tʁa
yao;ja.o
yaoi;jaɔi
yaouankaat;ip.no
yaourt;ja.uʁt
yaourtière;ja.uʁ.tjɛʁ
yaourtières;ja.uʁ.tjɛʁ
yaourts;ja.uʁt
yapay;ɛɡ.ze.ko
yapp;ja
yaram;ja
yard;jaʁd
yardages;ɛɡ.zy.ma.sjɔ̃
yards;jaʁd
yark;jaʁk
yarsagumbu;ju.ʁa.ka.ʁe
yashiva;ja.ʃi.va
yashivas;ja.ʃi.va
yassâmes;ja.sam
yassât;ja.sa
yassâtes;ja.sat
yassèrent;ja.sɛʁ
yassé;ja.se
yass;jas
yassa;ja.sa
yassai;ja.se
yassaient;ja.sɛ
yassais;ja.sɛ
yassait;ja.sɛ
yassant;ja.sɑ̃
yassas;ja.sa
yassasse;ja.sas
yassassent;ja.sas
yassasses;ja.sas
yassassiez;ja.sa.sje
yassassions;ja.sa.sjɔ̃
yasse;jas
yassent;jas
yasser;ja.se
yassera;ja.sə.ʁa
yasserai;ja.sə.ʁe
yasseraient;ja.sə.ʁɛ
yasserais;ja.sə.ʁɛ
yasserait;ja.sə.ʁɛ
yasseras;ja.sə.ʁa
yasserez;ja.sə.ʁe
yasseriez;ja.sə.ʁje
yasserions;ja.sə.ʁjɔ̃
yasserons;ja.sə.ʁɔ̃
yasseront;ja.sə.ʁɔ̃
yasses;jas
yassez;ja.se
yassiez;ja.sje
yassions;ja.sjɔ̃
yassons;ja.sɔ̃
yatagans;ja.ta.ɡɑ̃
yato;ɛ.ɡʁi
yawi;ju.tʁɔ̃
yaws;iɑs
yaybahar;je.ba.aʁ
yazatas;ɛn.ve.ʁam
yazidi;ja.zi.di
yazidis;ja.zi.di
yazidisme;ja.zi.dism
ycalled;ɛ̃k.ʁi.mi.nɑ̃t
ydamned;ɛ̃k.ʁi.mi.nɑ̃t
yeah;jɛ
yeen;ja
yemtchik;jəm.tʃik
yemtchiks;jəm.tʃik
yen;jɛn
yenotte;je.nɔ.t
yens;jɛn
yeoman;jo.man
yeomans;jo.man
yeomen;jo.mɛn
yermo;ik.tjɔ.tɔk.sik
yes;jɛs
yeshiva;je.ʃi.va
yeshivas;je.ʃi.va
yesteryear;ɛ̃.la.sabl
yet;jɛt
yetis;jɔ.ɡuʁt
yets;i.ɛs.be.de
yeule;jəl
yeules;jəl
yeuse;jøz
yeuses;i.øz
yeux;jø
yi;ji
yiable;jɑbl
yiddisch;ji.diʃ
yiddish;ji.diʃ
yiddishisâmes;ji.di.ʃi.zam
yiddishisât;ji.di.ʃi.za
yiddishisâtes;ji.di.ʃi.zat
yiddishisèrent;ji.di.ʃi.zɛʁ
yiddishisé;ji.di.ʃi.ze
yiddishisée;ji.di.ʃi.ze
yiddishisées;ji.di.ʃi.ze
yiddishisés;ji.di.ʃi.ze
yiddishisa;ji.di.ʃi.za
yiddishisai;ji.di.ʃi.ze
yiddishisaient;ji.di.ʃi.zɛ
yiddishisais;ji.di.ʃi.zɛ
yiddishisait;ji.di.ʃi.zɛ
yiddishisant;ji.di.ʃi.zɑ̃
yiddishisas;ji.di.ʃi.za
yiddishisasse;ji.di.ʃi.zas
yiddishisassent;ji.di.ʃi.zas
yiddishisasses;ji.di.ʃi.zas
yiddishisassiez;ji.di.ʃi.za.sje
yiddishisassions;ji.di.ʃi.za.sjɔ̃
yiddishise;ji.di.ʃiz
yiddishisent;ji.di.ʃiz
yiddishiser;ji.di.ʃi.ze
yiddishisera;ji.di.ʃi.zə.ʁa
yiddishiserai;ji.di.ʃi.zə.ʁe
yiddishiseraient;ji.di.ʃi.zə.ʁɛ
yiddishiserais;ji.di.ʃi.zə.ʁɛ
yiddishiserait;ji.di.ʃi.zə.ʁɛ
yiddishiseras;ji.di.ʃi.zə.ʁa
yiddishiserez;ji.di.ʃi.zə.ʁe
yiddishiseriez;ji.di.ʃi.zə.ʁje
yiddishiserions;ji.di.ʃi.zə.ʁjɔ̃
yiddishiserons;ji.di.ʃi.zə.ʁɔ̃
yiddishiseront;ji.di.ʃi.zə.ʁɔ̃
yiddishises;ji.di.ʃiz
yiddishisez;ji.di.ʃi.ze
yiddishisiez;ji.di.ʃi.zje
yiddishisions;ji.di.ʃi.zjɔ̃
yiddishisons;ji.di.ʃi.zɔ̃
yiddishophone;ji.di.ʃɔ.fɔn
yidich;ji.diʃ
yidiche;ji.diʃ
yin;jin
yinlong;ɛ̃.fe.li.si.te
yinlongs;jin
yins;jin
yipa;ji.pa
yliopisto;i.ʁe.nism
yo;jo
yobibit;jɔ.bi.bit
yobibits;jɔ.bi.bit
yobioctet;jo.bi.ɔk.tɛ
yobioctets;jɔ.bi.ɔk.tɛ
yoctoampère;jɔk.to.ɑ̃.pɛʁ
yoctoampères;jɔk.to.ɑ̃.pɛʁ
yoctobecquerel;jɔk.to.bɛk.ʁɛl
yoctobecquerels;jɔk.to.bɛk.ʁɛl
yoctobel;jɔk.to.bɛl
yoctobels;jɔk.to.bɛl
yoctocandéla;jɔk.to.kɑ̃.de.la
yoctocandélas;jɔk.to.kɑ̃.de.la
yoctocandela;jɔk.to.kɑ̃.de.la
yoctocandelas;jɔk.to.kɑ̃.de.la
yoctocoulomb;jɔk.to.ku.lɔ̃
yoctocoulombs;jɔk.to.ku.lɔ̃
yoctofarad;jɔk.to.fa.ʁad
yoctofarads;jɔk.to.fa.ʁad
yoctogramme;jɔk.to.ɡʁam
yoctogrammes;jɔk.to.ɡʁam
yoctogray;jɔk.to.ɡʁe
yoctograys;jɔk.to.ɡʁe
yoctohenry;jɔk.to.ɑ̃.ʁi
yoctohenrys;jɔk.to.ɑ̃.ʁi
yoctohertz;jɔk.to.ɛʁts
yoctohm;jɔk.tom
yoctohms;jɔk.tom
yoctojoule;jɔk.to.ʒul
yoctojoules;jɔk.to.ʒul
yoctokatal;jɔk.to.ka.tal
yoctokatals;jɔk.to.ka.tal
yoctokelvin;jɔk.to.kɛl.vɛ̃
yoctokelvins;jɔk.to.kɛl.vɛ̃
yoctolitre;jɔk.to.litʁ
yoctolitres;jɔk.to.litʁ
yoctolumen;jɔk.to.ly.mɛn
yoctolumens;jɔk.to.ly.mɛn
yoctolux;jɔk.to.lyks
yoctomètre;jɔk.to.mɛtʁ
yoctomètres;jɔk.to.mɛtʁ
yoctométrique;jɔk.to.me.tʁik
yoctométriques;jɔk.to.me.tʁik
yoctometers;ɛ̃.sɛʁ.sjɔ̃
yoctometres;ɛ̃.tɛ.lɛk.sjɔ̃
yoctomole;jɔk.to.mɔl
yoctomoles;jɔk.to.mɔl
yoctonewton;jɔk.to.nju.tɔn
yoctonewtons;jɔk.to.nju.tɔn
yoctoohm;jɔk.to.om
yoctoohms;jɔk.to.om
yoctopascal;jɔk.to.pas.kal
yoctopascals;jɔk.to.pas.kal
yoctoradian;jɔk.to.ʁa.djɑ̃
yoctoradians;jɔk.to.ʁa.djɑ̃
yoctoseconde;jɔk.to.sə.ɡɔ̃d
yoctosiemens;jɔk.to.si.mɛns
yoctosievert;jɔk.to.si.vɛʁt
yoctosieverts;jɔk.to.si.vɛʁt
yoctostéradian;jɔk.to.ste.ʁa.djɑ̃
yoctostéradians;jɔk.to.ste.ʁa.djɑ̃
yoctotesla;jɔk.to.tɛs.la
yoctoteslas;jɔk.to.tɛs.la
yoctovolt;jɔk.to.vɔlt
yoctovolts;jɔk.to.vɔlt
yoctowatt;jɔk.to.wat
yoctowatts;jɔk.to.wat
yoctoweber;jɔk.to.ve.bɛʁ
yoctowebers;jɔk.to.ve.bɛʁ
yod;jɔd
yodelers;je.ʃi.va
yodh;jɔd
yodisâmes;jɔ.di.zam
yodisât;jɔ.di.za
yodisâtes;jɔ.di.zat
yodisèrent;jɔ.di.zɛʁ
yodisé;jɔ.di.ze
yodisée;jɔ.di.ze
yodisées;jɔ.di.ze
yodisés;jɔ.di.ze
yodisa;jɔ.di.za
yodisai;jɔ.di.ze
yodisaient;jɔ.di.zɛ
