Éaque;e.ak
Éblange;eb.lɑ̃ʒ
Ébouleau;e.bu.lo
Éboulementais;e.bul.mɑ̃.tɛ
Éboulin;e.bu.lɛ̃
Éboulois;e.bu.lwa
Écauville;e.ko.vil
Échallat;e.ʃa.la
Échandelys;e.ʃɑ̃.dlis
Échannay;e.ʃa.ne
Écharcon;e.ʃaʁ.kɔ̃
Écharconnais;e.ʃaʁ.kɔ.nɛ
Écharconnaise;e.ʃaʁ.kɔ.nɛz
Écharconnaises;e.ʃaʁ.kɔ.nɛz
Échassiers;e.ʃa.sje
Échay;e.ʃe
Échenans;e.ʃnɑ̃
Échenevex;e.ʃə.nə.ve
Échenon;e.ʃnɔ̃
Échevronne;e.ʃə.vʁɔn
Échigey;e.ʃi.ɡe
Écho;e.ko
Échourgnac;e.ʃuʁ.ɲak
Éclaires;ek.lɛʁ
Écoquenéauville;e.kɔk.ne.o.vil
Écorçois;e.kɔʁ.swa
Écossais;e.kɔ.sɛ
Écossaise;e.kɔ.sɛz
Écossaises;e.kɔ.sɛz
Écosse;e.kɔs
Écouen;e.kwɑ̃
Écrammeville;ek.ʁam.vil
Écritures;ek.ʁy.tyʁ
Écueil;e.kœj
Éculloise;e.ky.lwaz
Éculloises;e.ky.lwaz
Écurcey;e.kyʁ.se
Écureuil;e.ky.ʁœj
Écureuillois;e.ky.ʁœ.jwa
Écutigny;e.ky.ti.ɲi
Écuvilly;e.ky.vi.ji
Édiacarien;e.dja.ka.ʁjɛ̃
Édimbourg;e.dɛ̃.buʁ
Édouard;e.dwaʁ
Édouardien;e.dwaʁ.djɛ̃
Égée;e.ʒe
Égéon;e.ʒeɔ̃
Égine;e.ʒin
Église;e.ɡliz
Églises;e.ɡliz
Églisolles;e.ɡli.zɔl
Égly;e.ɡli
Éguilly;e.ɡi.ji
Égypte;e.ʒipt
Égyptes;e.ʒipt
Égyptien;e.ʒip.sjɛ̃
Égyptienne;e.ʒip.sjɛn
Égyptiennes;e.ʒip.sjɛn
Égyptiens;e.ʒip.sjɛ̃
Éléate;e.le.at
Éléates;e.le.at
Élée;e.le
Éléonore;e.le.ɔ.nɔʁ
Éléphantide;e.le.fɑ̃.tid
Élafonissos;e.la.fɔ.ni.sɔs
Élan;e.lɑ̃
Élanais;e.la.nɛ
Élanaise;e.la.nɛz
Élancourt;e.lɑ̃.kuʁ
Élara;e.la.ʁa
Électre;e.lɛk.tʁə
Élencourt;e.lɑ̃.kuʁ
Éliacin;e.lja.sɛ̃
Éliana;e.lja.na
Éliane;e.ljan
Éliaque;e.ljak
Éliaques;e.ljak
Élidien;e.li.djɛ̃
Élie;e.li
Élien;e.ljɛ̃
Élisée;e.li.ze
Élis;e.lis
Élisa;e.li.za
Élisabeth;e.li.za.bɛt
Élise;e.liz
Élissande;e.li.sɑ̃d
Élizabethois;e.li.za.bɛ.twa
Éloïse;e.lɔ.iz
Élohim;e.lɔ.im
Éloi;e.lwa
Éloise;e.lwaz
Éloisien;e.lwa.zjɛ̃
Élysée;e.li.ze
Émélinois;e.me.li.nwa
Émérine;e.me.ʁin
Éméville;e.me.vil
Émanois;e.ma.nwa
Émanoise;e.ma.nwaz
Émanoises;e.ma.nwaz
Émeline;e.mə.lin
Émeric;em.ʁik
Émerine;em.ʁin
Émiéville;e.mje.vil
Émile;e.mil
Émilie;e.mi.li
Émilien;e.mi.ljɛ̃
Émilois;e.mi.lwa
Éminé;emine
Émirien;e.mi.ʁjɛ̃
Émirienne;e.mi.ʁjɛn
Émiriennes;e.mi.ʁjɛn
Émiriens;e.mi.ʁjɛ̃
Émondeville;e.mɔ̃d.vil
Émy;e.mi
Énée;e.ne
Énéide;e.ne.id
Énora;e.nɔ.ʁa
Éoarchéen;e.o.aʁ.ke.ɛ̃
Éocène;e.ɔ.sɛn
Éole;e.ɔl
Éolien;e.ɔ.ljɛ̃
Éolienne;e.ɔ.ljɛn
Éoliennes;e.ɔ.ljɛn
Éoliens;e.ɔ.ljɛ̃
Éos;e.os
Éourres;e.uʁ
Épécamps;e.pe.kɑ̃
Épégard;e.pe.ɡaʁ
Épénancourt;e.pe.nɑ̃.kuʁ
Épanéen;e.pa.ne.ɛ̃
Épaney;e.pa.nɛ
Éparcy;e.paʁ.si
Épaumesnil;e.po.mɛ.nil
Épense;e.pɑ̃s
Épernay;e.pɛʁ.nɛ
Épertully;e.pɛʁ.ty.li
Épeugney;e.pø.ɲe
Éphèse;e.fɛz
Éphémie;e.fe.mi
Éphrem;e.fʁɛm
Éphremois;e.fʁɛ.mwa
Épiais;e.pjɛ
Épicure;e.pi.kyʁ
Épiméthée;e.pi.me.te
Épinal;e.pi.nal
Épinay;e.pi.ne
Épineuil;e.pi.nœj
Épineuse;e.pi.nøz
Épinois;e.pi.nwa
Épinonville;e.pi.nɔ̃.vil
Épiphanie;e.pi.fa.ni
Épiphanien;e.pi.fa.njɛ̃
Épiphanois;e.pi.fa.nwa
Épire;e.piʁ
Époisses;e.pwas
Épron;ep.ʁɔ̃
Épuisay;e.pɥi.ze
Équateur;e.kwa.tœʁ
Équatoria;e.kwa.tɔ.ʁja
Équatorien;e.kwa.tɔ.ʁjɛ̃
Équatorienne;e.kwa.tɔ.ʁjɛ̃n
Équatoriennes;e.kwa.tɔ.ʁjɛ̃n
Équatoriens;e.kwa.tɔ.ʁjɛ̃n
Équemauvillais;e.kœ.vi.lɛ
Équemauville;e.kə.mo.vil
Équevilley;e.kə.vi.je
Équevillon;e.kə.vi.jɔ̃
Érévantsi;e.ʁe.van.tsi
Érévantsis;e.kɥi.jɛn
Éragny;e.ʁa.ɲi
Éraines;e.ʁɛn
Érato;e.ʁa.to
Éric;e.ʁik
Éricacées;e.ʁi.ka.se
Éridan;e.ʁi.dɑ̃
Érik;e.ʁik
Érin;ɛ.ʁin
Éringes;e.ʁɛ̃ʒ
Érinye;e.ʁi.ni
Érinyes;e.ʁi.ni
Éris;e.ʁis
Ériziens;e.ʁi.zjɛ̃
Érone;e.ʁɔn
Éros;e.ʁɔs
Éroudeville;e.ʁud.vil
Érythrée;e.ʁi.tʁe
Érythréen;e.ʁi.tʁe.ɛ̃
Érythréenne;e.ʁi.tʁe.ɛn
Érythréennes;e.ʁi.tʁe.ɛn
Érythréens;e.ʁi.tʁe.ɛ̃
Ésope;e.zɔp
Ésquilo;e.ʃil
Ésus;e.zys
Étables;e.tabl
Étaimpuis;e.tɛ̃.pɥi
Étain;e.tɛ̃
Étais;e.tɛ
Étalante;e.ta.lɑ̃t
Étalle;e.tal
Étalon;e.ta.lɔ̃
Étampes;e.tɑ̃p
Étampois;e.tɑ̃.pwa
Étampoise;e.tɑ̃.pwaz
Étampoises;e.tɑ̃.pwaz
État;e.ta
États;e.ta
Étavigny;e.ta.vi.ɲi
Ételfay;e.tɛl.fe
Éternel;e.tɛʁ.nɛl
Éternitériverain;e.tɛʁ.ni.te.ʁiv.ʁɛ̃
Éternitois;e.tɛʁ.ni.twa
Éterville;e.tɛʁ.vil
Éthan;e.tan
Éther;e.tɛʁ
Éthiopie;e.tjɔ.pi
Éthiopien;e.tjɔ.pjɛ̃
Éthiopienne;e.tjɔ.pjɛn
Éthiopiennes;e.tjo.pjɛn
Éthiopiens;e.tjo.pjɛ̃
Étienne;e.tjɛn
Étiollais;e.tjɔ.lɛ
Étiollaise;e.tjɔ.lɛz
Étiollaises;e.tjɔ.lɛz
Étiolles;e.tjɔl
Étival;e.ti.val
Étobon;e.to.bɔ̃
Étoile;e.twal
Éton;e.tɔ̃
Étormay;e.tɔʁ.me
Étouvelles;e.tu.vɛl
Étouvy;e.tu.vi
Étouy;e.twi
Étréchiat;e.tʁe.ʃja
Étréchiate;e.tʁe.ʃjat
Étréchiates;e.tʁe.ʃjat
Étréchy;e.tʁe.ʃi
Étréchyssois;e.tʁe.ʃi.swa
Étréchyssoise;e.tʁe.ʃi.swaz
