Dèce;dɛs
Débora;dɛ.bɔ.ʁa
Déborah;dɛ.bɔ.ʁa
Décaméron;de.ka.me.ʁɔ̃
Dédé;de.de
Dédale;de.dal
Déimos;dej.mɔs
Déléageois;de.le.a.ʒwa
Délien;de.ljɛ̃
Délienne;de.ljɛn
Déliennes;de.ljɛn
Déliens;de.ljɛ̃
Délos;de.lɔs
Déméter;de.me.tɛʁ
Démosthène;de.mɔs.tɛn
Démoszthenész;de.mɔs.tɛn
Démouville;de.mu.vil
Déné;de.ne
Dénébola;de.ne.bɔ.la
Dénés;de.ne
Dénia;de.nja
Déou;deu
Désiré;de.zi.ʁe
Désirée;de.zi.ʁe
Dévonien;de.vɔ.njɛ̃
Düsseldorf;dy.sɛl.dɔʁf
Düwa;de.ma.ki.jə.ʁɛ
D;de
DAB;dab
DAC;dak
DAE;de.a.ə
DAFN;de.a.ɛf.ɛn
DAS;das
DBA;de.be.a
DBMS;de.ʁɛ.zɔ.ne
DCD;de.se.de
DCI;de.se.i
DCRI;de.se.ɛʁ.i
DDoSâmes;de.de.ɔ.sam
DDoSât;de.de.ɔ.sa
DDoSâtes;de.de.ɔ.sat
DDoSèrent;de.de.ɔ.sɛʁ
DDoSé;de.de.ɔ.se
DDoSée;de.de.ɔ.se
DDoSées;de.de.ɔ.se
DDoSés;de.de.ɔ.se
DDoSa;de.de.ɔ.sa
DDoSai;de.de.ɔ.se
DDoSaient;de.de.ɔ.sɛ
DDoSais;de.de.ɔ.sɛ
DDoSait;de.de.ɔ.sɛ
DDoSant;de.de.ɔ.sɑ̃
DDoSas;de.de.ɔ.sa
DDoSasse;de.de.ɔ.sas
DDoSassent;de.de.ɔ.sas
DDoSasses;de.de.ɔ.sas
DDoSassiez;de.de.ɔ.sa.sje
DDoSassions;de.de.ɔ.sa.sjɔ̃
DDoSe;de.de.ɔs
DDoSent;de.de.ɔs
DDoSer;de.de.ɔ.se
DDoSera;de.de.ɔ.sə.ʁa
DDoSerai;de.de.ɔ.sə.ʁe
DDoSeraient;de.de.ɔ.sə.ʁɛ
DDoSerais;de.de.ɔ.sə.ʁɛ
DDoSerait;de.de.ɔ.sə.ʁɛ
DDoSeras;de.de.ɔ.sə.ʁa
DDoSerez;de.de.ɔ.sə.ʁe
DDoSeriez;de.de.ɔ.sə.ʁje
DDoSerions;de.de.ɔ.sə.ʁjɔ̃
DDoSerons;de.de.ɔ.sə.ʁɔ̃
DDoSeront;de.de.ɔ.sə.ʁɔ̃
DDoSes;de.de.ɔs
DDoSez;de.de.ɔ.se
DDoSiez;de.de.ɔ.sje
DDoSions;de.de.ɔ.sjɔ̃
DDoSons;de.de.ɔ.sɔ̃
DDoSsâmes;de.de.ɔ.sam
DDoSsât;de.de.ɔ.sa
DDoSsâtes;de.de.ɔ.sat
DDoSsèrent;de.de.ɔ.sɛʁ
DDoSsé;de.de.ɔ.se
DDoSsée;de.de.ɔ.se
DDoSsées;de.de.ɔ.se
DDoSsés;de.de.ɔ.se
DDoSsa;de.de.ɔ.sa
DDoSsai;de.de.ɔ.se
DDoSsaient;de.de.ɔ.sɛ
DDoSsais;de.de.ɔ.sɛ
DDoSsait;de.de.ɔ.sɛ
DDoSsant;de.de.ɔ.sɑ̃
DDoSsas;de.de.ɔ.sa
DDoSsasse;de.de.ɔ.sas
DDoSsassent;de.de.ɔ.sas
DDoSsasses;de.de.ɔ.sas
DDoSsassiez;de.de.ɔ.sa.sje
DDoSsassions;de.de.ɔ.sa.sjɔ̃
DDoSse;de.de.ɔs
DDoSsent;de.de.ɔs
DDoSser;de.de.ɔ.se
DDoSsera;de.de.ɔ.sə.ʁa
DDoSserai;de.de.ɔ.sə.ʁe
DDoSseraient;de.de.ɔ.sə.ʁɛ
DDoSserais;de.de.ɔ.sə.ʁɛ
DDoSserait;de.de.ɔ.sə.ʁɛ
DDoSseras;de.de.ɔ.sə.ʁa
DDoSserez;de.de.ɔ.sə.ʁe
DDoSseriez;de.de.ɔ.sə.ʁje
DDoSserions;de.de.ɔ.sə.ʁjɔ̃
DDoSserons;de.de.ɔ.sə.ʁɔ̃
DDoSseront;de.de.ɔ.sə.ʁɔ̃
DDoSses;de.de.ɔs
DDoSsez;de.de.ɔ.se
DDoSsiez;de.de.ɔ.sje
DDoSsions;de.de.ɔ.sjɔ̃
DDoSsons;de.de.ɔ.sɔ̃
DEA;de.ə.a
DEC;dɛk
DECT;de.ə.se.te
DEL;dɛl
DELO;dɛ.lo
DEPP;disk.ʁe.pɑ̃
DESS;de.ə.ɛs.ɛs
DEUG;dœɡ
DG;de.ʒe
DGSE;de.ʒe.ɛs.œ
DHA;de.aʃ.a
DHTML;de.aʃ.te.ɛm.ɛl
DIMM;dim
DIU;de.i.y
DJ;de.ʒi
DJs;de.ʒi
DKIM;dwa.lɛ
DKS;di.aʁ.ʃik
