Gâprée;ɡʁɑ.pe
Gènoa;ɡɑ̃.be
Gènova;ʒe.nwa
Géans;ʒe.ɑ̃
Géant;ʒe.ɑ̃
Géants;ʒe.ɑ̃
Gégé;ʒe.ʒe
Gélasien;ʒe.la.ziɛ̃
Gémages;ʒe.maʒ
Gémeaux;ʒe.mo
GénéK;ʒe.ne.kɑ
Généviévois;ʒe.ne.vje.vwa
Génicourt;ʒe.ni.kuʁ
Génique;ʒe.nik
Génois;ʒe.nwa
Génoise;ʒe.nwaz
Génoises;ʒe.nwaz
Génolhac;ʒenolak
Génovéfain;ʒe.no.ve.fɛ̃
Génova;ʒe.nwa
Géométridés;ʒe.ɔ.me.tʁi.de
Géorgie;ʒe.ɔʁ.ʒi
Géorgien;ʒe.ɔʁ.ʒjɛ̃
Géorgienne;ʒe.ɔʁ.ʒjɛn
Géorgiennes;ʒe.ɔʁ.ʒjɛn
Géorgiens;ʒe.ɔʁ.ʒjɛ̃
Gérald;ʒe.ʁald
Géralda;ʒe.ʁal.da
Géralde;ʒe.ʁald
Géraldine;ʒe.ʁal.din
Géraldo;ʒe.ʁaldo
Géraldy;ʒe.ʁaldi
Gérard;ʒe.ʁaʁ
Gérardmer;ʒe.ʁaʁ.me
Gérardois;ʒe.ʁaʁ.dwa
Géraud;ʒe.ʁo
Gérone;ʒe.ʁɔn
Géronte;ʒe.ʁɔ̃t
Gê;ɡɛ
Gênes;ʒɛn
Gaétan;ɡa.e.tɑ̃
Gabin;ɡa.bɛ̃
Gabiniennes;ɡa.bi.njɛn
Gabon;ɡa.bɔ̃
Gabona;ɡa.bɔ̃
Gabonais;ɡa.bɔ.nɛ
Gabonaise;ɡa.bɔ.nɛz
Gabonaises;ɡa.bɔ.nɛz
Gabono;ɡa.bɔ̃
Gaboronais;ɡa.bɔ.ʁɔ.nɛ
Gaborone;ɡa.bɔ.ʁɔ.ne
Gabre;ɡabʁ
Gabrièle;ɡa.bʁi.jɛl
Gabriélois;ɡa.bʁi.e.lwa
Gabrielle;ɡa.bʁi.jɛl
Gabriellois;ɡa.bʁi.ɛ.lwa
Gacé;ɡa.se
Gadaboursis;ɡa.da.buʁ.si
Gadencourt;ɡa.dɑ̃.kuʁ
Gadiri;ɡa.di.ʁi
Gaditan;ɡa.di.tɑ̃
Gaditane;ɡa.di.tan
Gafsa;ɡaf.sa
Gagasse;ɡa.ɡas
Gagnon;ɡa.ɲɔ̃
Gagnonais;ɡa.ɲɔ.nɛ
Gagnonnais;ɡa.ɲɔ.nɛ
Gaillac;ɡa.jak
Gajanais;ɡa.ʒa.nɛ
Galatée;ɡa.la.te
Galaxie;ɡa.lak.si
Galicia;ɡa.li.si
Galicians;ɡwa.na.ko
Galicie;ɡa.li.si
Galicien;ɡa.li.sjɛ̃
Galien;ɡa.le.nist
Galiléen;ɡa.li.le.ɛ̃
Galiléenne;ɡa.li.le.ɛn
Galiléennes;ɡa.li.le.ɛn
Galiléens;ɡa.li.le.ɛ̃
Gallixois;ɡa.li.kswa
Gallois;ɡa.lwa
Galloises;ɡa.lwaz
Gallurais;ɡa.ly.ʁɛ
Galluraise;ɡa.ly.ʁɛz
Galway;ɡɔl.wɛ
Gambe;ʒik.le
Gambier;ɡɑ̃.bje
Gana;ɡa.na
Gand;ɡɑ̃
Gandelain;ɡɑ̃.də.lɛ̃
Gandhi;ɡɑ̃.di
Gandie;ɡɑ̃.di
Gandien;ɡɑ̃.djɛ̃
Gandienne;ɡɑ̃.djɛn
Gandiennes;ɡɑ̃.djɛn
Gandiens;ɡɑ̃.djɛ̃
Gandrange;ɡɑ̃.dʁɑ̃ʒ
Gange;ɡɑ̃ʒ
Gangem;ɡɑ̃ʒ
Ganges;ɡɑ̃ʒ
Gangi;ɡɑ̃ʒ
Gangis;ɡɑ̃ʒ
Gantois;ɡɑ̃.twa
Gantoise;ɡɑ̃.twaz
Gantoises;ɡɑ̃.twaz
Ganymède;ɡa.ni.mɛd
Garancières;ɡa.ʁɑ̃.sjɛʁ
Garau;ʒe.vi.swa
Gard;ɡaʁ
Gardangeois;ɡaʁ.dɑ̃.ʒwa
Gardannais;ɡaʁ.da.nɛ
Gardois;ɡaʁ.dwa
Gargamel;ɡaʁ.ɡa.mɛl
Gargantua;ɡaʁ.ɡɑ̃.tɥa
Gargouille;ɡaʁ.ɡuj
Gasch;ʒa.lɑ̃d
Gascogne;ɡas.kɔɲ
Gascoingna;ɡa.ti.njɛ̃
Gasconais;ɡas.kɔ.nɛ
Gasconne;ɡas.kɔn
Gasconnes;ɡas.kɔn
Gasconnien;ɡas.kɔ.njɛ̃
Gascons;ɡas.kɔ̃
Gaspé;ɡas.pe
Gaspécôtois;ɡas.pe.ko.twa
Gaspéiquois;ɡas.pe.i.kwa
Gaspénordien;ɡas.pe.nɔʁ.djɛ̃
Gaspésie;ɡas.pe.zi
Gaspésien;ɡas.pe.zjɛ̃
Gaspésienne;ɡas.pe.zjɛ̃
Gaspésiennes;ɡas.pe.zjɛ̃
Gaspésiens;ɡas.pe.zjɛ̃
Gaspard;ɡas.paʁ
Gaspeiquois;ɡas.pe.i.kwa
Gasponien;ɡas.pɔ.njɛ̃
Gaston;ɡas.tɔ̃
Gatineau;ɡa.ti.no
Gatineois;ɡa.ti.nwa
Gatinien;ɡa.ti.njɛ̃
Gatinois;ɡa.ti.nwa
Gaule;ɡol
Gaules;ɡol
Gauloise;ɡo.lwaz
Gaume;ɡom
Gauthier;ɡo.tje
Gauville;ɡo.vil
