Kâma;ka.ma
Kâmasûtra;ka.ma.su.tʁa
Kéké;ke.ke
Kénana;ke.na.na
Kénogamois;ke.nɔ.ɡa.mwa
Kényan;ke.njɑ̃
Kényane;ke.njan
Kényanes;ke.njan
Kényans;ke.njɑ̃
Kérala;ke.ʁa.la
Kéros;ke.ʁos
Kévin;ke.vin
Küchenlatein;ka.ta.na
Küchenwaage;ka.ta.na
Kümmel;ka.ta.na
Kaïn;kain
KaNgwané;kan.ɡwa.ne
KaNgwane;kan.ɡwa.ne
Kabinda;ka.bin.da
Kaboul;ka.bul
Kabyle;ka.bil
Kabylie;ka.bi.li
Kachin;kaʃɛ̃
Kachoube;ka.ʃub
Kachoubes;ka.ʃub
Kackwurst;kal.si.lit
Kadaver;kal.si.lit
Kaffeebohne;kal.si.lit
Kaffeehaus;kal.si.lit
Kafka;kaf.ka
Kafko;klɑ.si.ko
Kafku;klɑ.si.ko
Kafky;klɑ.si.ko
Kain;kain
Kaino;kain
Kainri;kɛ̃.ʁi
Kaiseradler;kla.pɛ
Kaiserschnitt;kal.si.lit
Kajak;kal.si.lit
Kakanie;ka.ka.ni
Kalévaléen;ka.le.va.le.ɛ̃
Kalévaléenne;ka.le.va.ljɛ̃
Kalévaléennes;ka.le.va.ljɛ̃
Kalévaléens;ka.le.va.ljɛ̃
Kalévalien;ka.le.va.ljɛ̃
Kalévalienne;ka.le.va.ljɛ̃
Kalévaliennes;ka.le.va.ljɛ̃
Kalévaliens;ka.le.va.ljɛ̃
Kalabrien;kla.ʁi.nɛt
Kalachnikov;ka.laʃ.ni.kɔf
Kalay;ka.lɛ
Kalaymyo;ka.lɛ.mjɔ
Kale;ka.lɛ
Kalemie;ka.le.mi
Kalevala;ka.le.va.la
Kali;ka.li
Kallawaya;ka.la.wa.ja
Kallawayas;ka.la.wa.ja
Kalmouk;kal.muk
Kalmouke;kal.muk
Kalmoukes;kal.muk
Kalmoukie;kal.mu.ki
Kalmouks;kal.muk
Kalymniote;ka.lim.njɔt
Kalymniotes;ka.lim.njɔt
Kalymnos;ka.lim.nɔs
Kamakura;ka.ma.ku.ʁa
Kamala;ka.ma.la
Kamba;kɑ̃m.ba
Kamerijk;kɑ̃.bʁɛ
Kamouraskois;ka.mu.ʁas.kwa
Kampala;kam.pa.la
Kampalais;kam.pa.lɛ
Kampanien;kla.ʁi.nɛt
Kanak;ka.nak
Kanari;ka.na.ʁi
Kangiqsualujjuamiuq;kan.ɡik.su.a.lu.dʒu.wa.mjuk
Kangiqsujuamiuq;kan.ɡik.su.dʒu.wa.mjuk
Kangiqsumiuq;kan.ɡik.su.mjuk
Kangwané;kan.ɡwa.ne
Kansas;kɑ̃.sas
Kansou;kɔ̃.sɔ.nɑ̃.ti.fi.ʁje
Kaolin;ka.ɔ.lɛ̃
Kaouther;ka.u.tɛʁ
Karélie;ka.ʁe.li
Karaçi;ka.ʁa.ʃi
Karachi;ka.ʁa.ʃi
Karaczi;ka.ʁa.ʃi
Karakas;ka.ʁa.kas
Karakasa;ka.ʁa.ka.sa
Karakasas;ka.ʁa.ka.sas
Karakaso;ka.ʁa.kas
Karakoch;ka.ʁa.kɔʃ
Karanteg;ka.ʁɑ̃.tɛk
Karatschi;ka.ʁa.ʃi
Karatxi;ka.ʁa.ʃi
Karelië;ka.ʁe.li
Karelia;ka.ʁe.li
Karelian;ka.ʁe.ljɛ̃
Karen;ka.ʁɛn
Karens;ka.ʁɛn
Kari;ka.ʁi
Karin;ka.ʁin
Karina;ka.ʁi.na
Karinar;ka.ʁin
Karine;ka.ʁin
Karma;kaʁ.ma
Karnataka;kaʁ.na.ta.ka
Karpaty;kaʁ.pa.ti
Karpfen;kaʁp.fen
Kartum;kaʁ.tum
Kasahstan;ka.za.kstɑ̃
Kasai;ka.sa.i
Kasayi;ka.sa.i
Kasimovien;ka.si.mɔ.vjɛ̃
Kassimovien;ka.si.mɔ.vjɛ̃
Kassoum;ka.sum
Katanga;ka.tɑ̃.ɡa
Katangais;ka.tɑ̃.ɡɛ
Katangaise;ka.tɑ̃.ɡɛz
Katangaises;ka.tɑ̃.ɡɛz
Katevalois;ket.va.lwa
Kathete;ka.ta.na
Katia;ka.tja
Katien;ka.tjɛ̃
Katioucha;ka.tju.ʃa
Katmandou;kat.mɑ̃.du
Katya;ka.tja
Kaukasus;kɔ.ka.zys
Kavkaz;kɔ.kaz
Kawa;ka.wa
Kawasaki;ka.wa.za.ki
Kayésien;ka.je.zjɛ̃
Kaya;ka.ja
Kayao;ka.jao
Kazabazuien;ka.za.ba.zy.jɛ̃
Kazachstan;ka.za.kstɑ̃
Kazahstan;ka.za.kstɑ̃
Kazakh;ka.zak
Kazakhe;ka.zak
Kazakhes;ka.zak
Kazakhs;ka.zak
Kazakhstan;ka.za.kstɑ̃
Kazakistan;ka.za.kstɑ̃
Kedah;ke.da
Keegan;ki.ɡan
Kehricht;ka.ti.zɔ.fɔ.bi
Keim;ka.ta.na
Kelbo;kɛl.bo
Kelvin;kɛl.vɛ̃
Kembre;ka.o.te
Kenana;ke.na.na
Kenkichi;kɛn.ki.tʃi
Kentucky;kɛn.ty.ki
Kenya;kɛ.nja
Kenyan;ke.njɑ̃
Kenyane;ke.njɑn
Kenyanes;ke.njɑn
Kenyans;ke.njɑ̃
Kerala;ke.ʁa.la
Kerbéros;kɛʁ.be.ʁos
Kerma;kɛʁ.ma
Kerne;ka.o.te
Kernevad;ka.o.te
Kernladungszahl;ka.ta.na
Kerzenlicht;ka.ta.na
Kerzu;ka.o.te
Kesselwagen;kʁɔk.ʁɔ.dil
Keupér;kø.peʁ
Keupérien;kø.pe.ʁjɛ̃
Keuper;kø.peʁ
Kevin;ke.vin
Keyanien;ke.ja.njɛ̃
Khalkha;kal.ka
Khalkhas;kal.ka
Kharism;ka.ʁism
Kharizan;ka.ʁi.zɑ̃
Kharkiv;kaʁ.kiv
Kharkov;kaʁ.kɔv
Khartoem;kaʁ.tum
Khartoum;kaʁ.tum
Khartoumais;kaʁ.tu.mɛ
Khartum;kaʁ.tum
Khmère;kmɛʁ
Khmères;kmɛʁ
Khmer;kmɛʁ
Khmers;kmɛʁ
Kiévien;kje.vjɛ̃
Kiïv;ki.iv
Ki;ki.bi
Kiamikois;kja.mi.kwa
Kichinev;ki.ʃi.njɛv
Kichiniov;ki.ʃi.njɔv
Kidal;ki.dal
Kidalois;ki.da.lwa
Kieme;ka.ve
Kiev;kjɛv
Kigali;ki.ɡa.li
Kigalien;ki.ɡa.ljɛ̃
Kigalois;ki.ɡa.lwa
Kiiv;ki.iv
Kijev;ki.iv
Kim;kim
Kimméridgien;ki.me.ʁi.dʒjɛ̃
Kin;kin
Kinchasa;kin.ʃa.sa
Kinects;ki.nɛkt
Kinh;kin
Kinnearois;ki.ni.ʁwa
Kinois;ki.nwa
Kinshasa;kin.ʃa.sa
Kio;ki.bi.ɔk.tɛ
Kipawais;ki.pa.wɛ
Kippe;ka.ta.na
Kira;ki.pa
Kire;ki.pa
Kirghize;kiʁ.ɡiz
Kirghizes;kiʁ.ɡiz
Kirghizistan;kiʁ.ɡi.zi.stɑ̃
Kirgisia;kiʁ.ɡi.zi.stɑ̃
Kirgizië;kiʁ.ɡi.zi.stɑ̃
Kirgizio;kiʁ.ɡi.zi.stɑ̃
Kirgizistana;ki.pa
Kirgizistanom;ki.pa
Kirgizistanu;ki.pa
Kiri;ki.pa
Kiribati;ki.ʁi.ba.ti
Kiribatien;ki.ʁi.ba.sjɛ̃
Kiribatienne;ki.ʁi.ba.sjɛn
Kiribatija;ki.pa
Kiribatijem;ki.pa
Kiribatiju;ki.pa
Kirih;ki.pa
Kirila;ki.pa
Kirile;ki.pa
Kirili;ki.pa
Kirilih;ki.pa
Kirilom;ki.pa
Kiriloma;ki.pa
Kirilov;ki.pa
Kirilu;ki.pa
Kirmeskuchen;ka.ta.na
Kirom;ki.pa
Kiroma;ki.pa
Kirov;ki.pa
Kirsi;kiʁ.si
Kirsten;ka.ʁin
Kirstenar;ka.ʁin
Kiru;ki.pa
Kisangani;ki.san.ɡa.ni
Kitajca;ki.pa
Kitajce;ki.pa
Kitajcem;ki.pa
Kitajcema;ki.pa
Kitajcev;ki.pa
Kitajci;ki.pa
Kitajcih;ki.pa
Kitajcu;ki.pa
Kitajk;ki.pa
Kitajkah;ki.pa
Kitajkam;ki.pa
Kitajkama;ki.pa
Kitajkami;ki.pa
Kitajke;ki.pa
Kitajki;ki.pa
Kitajko;ki.pa
Kitajske;ki.pa
Kitajski;ki.pa
Kitajsko;ki.pa
Kitchener;kit.ʃə.nœʁ
Kitsch;kwaʁts
Kiviuq;ki.vjuk
Kjalar;ka.ʁin
Kjalari;ka.ʁin
Kjalars;ka.ʁin
Kjallak;ka.ʁin
Kjallaki;ka.ʁin
Kjallaks;ka.ʁin
Kjallakur;ka.ʁin
Kjalvarar;ka.ʁin
Kjaran;ka.ʁin
Kjarani;ka.ʁin
Kjarans;ka.ʁin
Kjartan;ka.ʁin
Kjartani;ka.ʁin
Kjartans;ka.ʁin
Kjota;ki.pa
Kjotom;ki.pa
Kjotu;ki.pa
Klæng;ka.ʁin
Klængi;ka.ʁin
Klængs;ka.ʁin
Klængur;ka.ʁin
Klammer;ka.ta.na
Klar;ki.pa
Klara;ka.ʁin
Klarah;ki.pa
Klaram;ki.pa
Klarama;ki.pa
Klarami;ki.pa
Klare;ki.pa
Klari;ki.pa
Klaric;ki.pa
Klaricah;ki.pa
Klaricam;ki.pa
Klaricama;ki.pa
Klaricami;ki.pa
Klarice;ki.pa
Klarici;ki.pa
Klarico;ki.pa
Klaro;ki.pa
Klatschmohn;ka.ta.na
Klemens;ka.ʁin
Klemenz;ka.ʁin
Kleptokratie;klɛp.tɔk.ʁa.tik
Kletterpflanze;ka.ta.na
Klettersteig;ka.ta.na
