MàJ;ɛm.a.ʒi
Mâcon;ma.kɔ̃
Mâle;mɑl
Mâyâ;maja
Mæandre;me.ɑ̃dʁ
Mère;mɛʁ
Méchinois;me.ʃi.nwa
Méchois;me.ʃwa
Médée;me.de
Médan;me.dɑ̃
Médard;me.daʁ
Médardois;me.daʁ.dwa
Médavy;me.da.vi
Médie;me.di
Méditerranée;me.di.tɛ.ʁa.ne
Médoc;me.dɔk
Médocain;me.dɔ.kɛ̃
Médocaine;me.dɔ.kɛn
Médocaines;me.dɔ.kɛ̃
Médor;me.dɔʁ
Méduse;me.dyz
Mée;me
Mégère;me.ʒɛʁ
Mégane;me.ɡan
Méganticois;me.ɡɑ̃.ti.kwa
Mégier;meʒje
Mégilien;me.ʒi.ljɛ̃
Méhari;me.a.ʁi
Méhoudin;me.u.dɛ̃
Méjean;me.ʒɑ̃
Mékinacois;me.ki.na.kwa
Mékinaquois;me.ki.na.kwa
Mélanésie;me.lan.ne.zi
Mélanésien;me.la.ne.zjɛ̃
Mélanésienne;me.la.ne.zjɛn
Mélanésiennes;me.la.ne.zjɛn
Mélanésiens;me.la.ne.zjɛ̃
Mélanie;me.la.ni
Mélanien;me.la.njɛ̃
Mélanois;me.la.nwa
Mélany;me.la.ni
Mélenchon;me.lɑ̃.ʃɔ̃
Méliacées;me.lja.se
Mélillien;me.li.ljɛ̃
Mélinée;mɛ.li.nɛ
Mélina;mɛ.li.na
Méline;mɛ.lin
Mélissa;me.li.sa
Mélodie;mɛ.lɔ.di
Mélodine;mɛ.lɔ.din
Mélody;mɛ.lɔ.di
Mélos;me.los
Mélusin;me.ly.sɛ̃
Mélusine;me.ly.zin
Mélyne;mɛ.lin
Ména;me.na
Méphistophélès;me.fis.tɔ.fe.lɛs
Méréville;mɛn.si
Mérantaise;me.ʁɑ̃.tɛz
Méricien;me.ʁi.sjɛ̃
Méricourt;me.ʁi.kuʁ
Mérida;me.ʁi.da
Mériel;me.ʁjɛl
Mérignac;me.ʁi.ɲak
Mérinchal;me.ʁɛ̃.ʃal
Méroé;me.ʁɔ.e
Mérobert;me.ʁɔ.bɛʁ
Mérovingien;me.ʁɔ.vɛ̃.ʒjɛ̃
Méruimticookois;me.ʁɥim.ti.ku.kwa
Mésanger;me.zɑ̃.ʒe
Mésoamérique;me.zɔ.a.me.ʁik
Mésoarchéen;me.zo.aʁ.ke.ɛ̃
Mésolithique;me.zɔ.li.tik
Mésopotamie;me.zɔ.pɔ.ta.mi
Mésopotamien;me.zɔ.pɔ.ta.mjɛ̃
Mésoprotérozoïque;me.zop.ʁɔ.te.ʁo.zɔ.ik
Mésozoïque;me.zɔ.zɔ.ik
Métabetchouanais;me.ta.bɛ.tʃwa.nɛ
Méthodois;me.tɔ.dwa
Méthone;me.tɔn
Métis;me.tis
Métisien;me.ti.zjɛ̃
Métisse;me.tis
Métisses;me.tis
Métissien;me.ti.sjɛ̃
Métivier;me.ti.vje
Métropolitain;me.tʁo.pɔ.li.tɛ̃
Mézensol;me.zɑ̃.sɔl
Mézensolle;me.zɑ̃.sɔl
Mézensolles;me.zɑ̃.sɔl
Mézensols;me.zɑ̃.sɔl
Mézery;mɛ.zə.ʁi
Mézières;me.zjɛʁ
Müdigkeit;mɔ.lɔk
Mülhausen;my.luz
Müller;my.lœʁ
Mülltonne;mɔ̃.ta.na
Müsli;mɔ̃.dja.li.ze
Müsliriegel;mɔ̃.di.fje
Mütze;mɔ̃.di.fja
Maèva;ma.ɛ.va
Maéva;ma.ɛ.va
Maëlle;ma.ɛl
Maëlys;ma.e.lis
Maëva;ma.ɛ.va
Maïa;ma.ja
Maïdan;majdan
Maïorquain;ma.jɔʁ.kɛ̃
Maïorquais;ma.jɔʁ.kɛ
Maïorque;ma.jɔʁk
Maïorquin;ma.jɔʁ.kɛ̃
Maïssa;ma.i.sa
Maïté;ma.i.te
Maaloula;ma.a.lu.la
Mab;mab
Mabelé;ɛ̃.fi.ni.tyd
Macé;ma.se
Macédoine;ma.se.dwan
Macédonie;ma.se.dɔ.ni
Macédonien;ma.se.dɔ.njɛ̃
Macédonienne;ma.se.dɔ.njɛn
Macédoniennes;ma.se.dɔ.njɛn
Macédoniens;ma.se.dɔ.njɛ̃
Mac;mak
MacBooks;mik.ʁo.fil.tʁa.sjɔ̃
MacGuffin;mak.ɡœ.fin
Macabée;ma.ka.bɛ
Macabées;ma.ka.bɛ
Macanais;ma.ka.nɛ
Macanaise;ma.ka.nɛz
Macanaises;ma.ka.nɛz
Macao;ma.ka.o
Macapète;ma.ka.pɛt
Macaronésie;ma.ka.ʁo.ne.zi
Macassar;ma.ka.saʁ
Macau;ma.ka.o
Macazien;ma.ka.zjɛ̃
Maccabée;ma.ka.bɛ
Maccabées;ma.ka.bɛ
Macchabée;ma.ka.bɛ
Macchabées;ma.ka.bɛ
Macedone;ɛ̃.bi.ta.bi.li.te
Macedonem;ɛ̃.bi.ta.bi.li.te
Macedoni;ɛ̃.bi.ta.bi.li.te
Macedonia;ma.ka.saʁ
Macedonibus;ɛ̃.bi.ta.bi.li.te
Macedonis;ɛ̃.bi.ta.bi.li.te
Macedonum;ɛ̃.bi.ta.bi.li.te
Mach;mak
Machabaei;ma.ka.be.ɛ̃
Machabaeus;ma.ka.be.ɛ̃
Machecoul;mɑʃ.ku
Machecoulais;mɑʃ.ku.lɛ
Machecoulaise;mɑʃ.ku.lɛz
Machecoulaises;mɑʃ.ku.lɛz
Machichois;ma.ʃi.ʃwa
Machination;ɛɡ.ze.ky.tiv
Machmeters;my.si.ta.sjɔ̃
Machrek;ma.ʃʁɛk
Machtkampf;mi.si.le
Macker;mi.nis.tʁə.ʁa
Maclou;mak.lu
Macrolépidoptères;mak.ʁɔ.le.pi.dɔp.tɛʁ
Madère;ma.dɛʁ
Madérien;ma.de.ʁjɛ̃
Madérienne;ma.de.ʁjɛ̃
Madériennes;ma.de.ʁjɛ̃
Madériens;ma.de.ʁjɛ̃
Madagascar;ma.da.ɡa.skaʁ
Madame;ma.dam
Madeleine;mad.lɛn
Madeleinois;ma.dlɛ.nwa
Madeleinoriverain;ma.dlɛ.no.ʁiv.ʁɛ̃
Madelinien;mad.li.njɛ̃
Madelinois;mad.li.nwa
Madelinot;mad.li.no
Mademoiselle;ma.ka.ʁɔ̃
Madiale;ma.djal
Madjoari;mad.ʒɔa.ʁi
Madone;ma.dɔn
Madouba;ma.du.ba
Madras;ma.dʁas
Madrid;ma.dʁid
Madrigal;ma.dʁi.gal
Madrilène;ma.dʁi.lɛn
Maecenas;mɔ.no.pa.ʁɑ̃.tal
Maesius;me.lɑ̃.ʃɔ.nist
Maeva;ma.ɛ.va
Maffliers;ma.flje
Magazin;mi.nis.tʁas
Magdaléna;maɡ.da.le.na
Magdeleine;mœ̃
Magdeloigne;mœ̃
Magdunois;maɡ.dy.nwa
Magdunoise;maɡ.dy.nwaz
Magdunoises;maɡ.dy.nwaz
Maghrébin;ma.ɡʁe.bɛ̃
Maghrébine;ma.ɡʁe.bin
Maghrébines;ma.ɡʁe.bin
Maghrébins;ma.ɡʁe.bɛ̃
Maghreb;ma.ɡʁɛb
Magistrale;ma.sɔ.ʁe.tik
Magnac;ma.ɲak
Magnas;ma.ɲas
Magnesiumcitrat;ɛɡ.ze.ky.tiv
Magnetismus;ɛlb
Magniénois;ma.ɲe.nwa
Magnoacaise;ma.ɲo.a.kɛz
Magnoliacées;maɡ.nɔ.lja.se
Magnymontien;ma.ɲi.mɔ̃.tjɛ̃
Magnymontois;ma.ɲi.mɔ̃.twa
Magpien;maɡ.pjɛ̃
Magrébin;ma.ɡʁe.bɛ̃
Magyar;ma.ʒjaʁ
Magyars;ma.ʒjaʁ
Mahé;maɛ
Mahéru;ma.e.ʁy
Mahalla;ma.a.la
Mahamadou;ma.a.ma.du
Mahavamsa;ma.a.vam.sa
Mahdi;ma.di
Mahdy;ma.di
Maheva;ma.ɛ.va
Mahmoud;ma.mud
Mahomet;ma.ɔ.mɛ
Mahou;mau
Mahous;mau
Mahrattes;ma.ʁat
Mai;ma.i
Maialen;ma.ja.lɛn
Maigret;mɛ.ɡʁɛ
Mailhocoise;mɛ.lo.kwaz
Mailis;ma.i.lis
