Qaraqosh;ka.ʁa.kɔʃ
Qatar;ka.taʁ
Qatari;ka.ta.ʁi
Qatarie;ka.ta.ʁi
Qatarien;ka.ta.ʁjɛ̃
Qataries;ka.ta.ʁi
Qatariote;ka.ta.ʁjɔt
Qatariotes;ka.ta.ʁjɔt
Qataris;ka.ta.ʁi
QoE;ky.o.ə
QoS;ky.o.ɛs
Québécois;ke.be.kwa
Québécoise;ke.be.kwaz
Québécoises;ke.be.kwaz
Québec;ke.bɛk
Québecois;ke.be.kwa
Québecoise;ke.be.kwaz
Québecquoise;ke.be.kwaz
Québecquoises;ke.be.kwaz
Quakeresse;kwɛk.ʁɛs
Quakeresses;kwɛk.ʁɛs
Quakers;kwɛ.kœʁ
Qualimétrie;ka.li.me.tʁi
Quaqtamiuq;ku.ak.ta.mjuk
Quaternaire;kwa.tɛʁ.nɛʁ
Quebec;ke.bɛk
Quebecois;kɔ̃.sjɛ̃.sjɔ.zi.te
Quechua;ketʃwa
Quechuan;ke.ʃɥa
Queec;ke.bɛk
Queens;kwins
Queensland;kwins.lɑ̃d
Queenslandais;kwins.lɑ̃.dɛ
Quend;kɛ̃
Quentin;kɑ̃.tɛ̃
Quercinois;kɛʁ.si.nwɑ
Quercinoise;kɛʁ.si.nwɑz
Quercinoises;kɛʁ.si.nwɑz
Quercitain;kɛʁ.si.tɛ̃
Quercy;kɛʁ.si
Quercynois;kɛʁ.si.nwɑ
Quetteville;kɛt.vil
Queudoise;kø.dwaz
Queudoises;kø.dwaz
Quevauvillois;kə.vo.vi.lwa
Quevauvilloise;kə.vo.vi.lwaz
Quevauvilloises;kə.vo.vi.lwaz
Quièvrecourt;kjɛ.vʁə.kuʁ
Quimper;kɛ̃.pɛʁ
Quimperloise;kɛ̃.pɛʁ.lwaz
Quingey;kɛ̃.si.su.se.naʁ
Quinkans;kwa.sja
Quinquatrias;kwa.sja
Quintilien;kɛ̃.ti.ljɛ̃
Quinze;kɛ̃z
Quirite;ki.ʁit
Quiritem;ki.ʁit
Quirites;ki.ʁit
Quiriti;ki.ʁit
Quiritibus;ki.ʁit
Quiritis;ki.ʁit
Quiritum;ki.ʁit
Quito;ki.to
QwaQwa;kwa.kwa
Qwaqwa;kwa.kwa
q;ky
qadi;ka.di
qaf;kɑf
qamis;ka.mis
qanûn;ka.nun
qanûns;ka.nun
qanat;ka.pɔ.ʁa.li.zə.ʁɔ̃
qanons;ka.na
qanuimmaninna;kɔs.mo.nyk.le.id
qaplan;kʁa.sys
qarasaq;kal.se
qaritaq;kal.se
qarjuk;kaʁ.tɔ̃.pɑt
qasida;ka.zi.da
qasidas;ka.si.da
qatâmes;ka.tam
qatât;ka.ta
qatâtes;ka.tat
qatèrent;ka.tɛʁ
qaté;ka.te
qat;kat
qata;ka.ta
qatai;ka.te
qataient;ka.tɛ
qatais;ka.tɛ
qatait;ka.tɛ
qatant;ka.tɑ̃
qatari;ka.ta.ʁi
qatarie;ka.ta.ʁi
qataries;ka.ta.ʁi
qatariotes;ka.ta.ʁjot
qataris;ka.ta.ʁi
qatas;ka.ta
qatasse;ka.tas
qatassent;ka.tas
qatasses;ka.tas
qatassiez;ka.ta.sje
qatassions;ka.ta.sjɔ̃
qate;kat
qatent;kat
qater;ka.te
qatera;ka.tə.ʁa
qaterai;ka.tə.ʁe
qateraient;ka.tə.ʁɛ
qaterais;ka.tə.ʁɛ
qaterait;ka.tə.ʁɛ
qateras;ka.tə.ʁa
qaterez;ka.tə.ʁe
qateriez;ka.tə.ʁje
qaterions;ka.tə.ʁjɔ̃
qaterons;ka.tə.ʁɔ̃
qateront;ka.tə.ʁɔ̃
qates;kat
qatez;ka.te
qatiez;ka.tje
qations;ka.tjɔ̃
qatiq;ki.to
qatons;ka.tɔ̃
qats;kat
qavvik;ka.zɥa.liz
qawl;kal
qawwals;ka.na
qazis;ka.na
qcq;kɛl.kɔ̃k
qershori;ka.na.ʁi
qibla;kib.la
qilin;ki.lin
qilins;ki.lin
qintars;ka.pi.ba.ʁa
qof;kɔf
qom;kom
qoph;kɔf
qophs;ki.lin
qouf;kɔf
qqf;kɛl.kə.fwa
qqn;kɛl.kœ̃
qsurux;kas.ta.ɲad
qté;kɑ̃.ti.te
qu';k
quàsar;kʁa.kyʁ
quèbe;kɛb
quèbent;kɛb
quèbera;kɛ.bə.ʁa
quèberai;kɛ.bə.ʁe
quèberaient;kɛ.bə.ʁɛ
quèberais;kɛ.bə.ʁɛ
quèberait;kɛ.bə.ʁɛ
quèberas;kɛ.bə.ʁa
quèberez;kɛ.bə.ʁe
quèberiez;kɛ.bə.ʁje
quèberions;kɛ.bə.ʁjɔ̃
quèberons;kɛ.bə.ʁɔ̃
quèberont;kɛ.bə.ʁɔ̃
quèbes;kɛb
quèque;kɛk
quèques;kɛk
quèsaco;kɛ.za.ko
quèsement;kɛz.mɑ̃
qué;ke
québécisâmes;ke.be.si.zam
québécisât;ke.be.si.za
québécisâtes;ke.be.si.zat
québécisèrent;ke.be.si.zɛʁ
québécisé;ke.be.si.ze
québécisée;ke.be.si.ze
québécisées;ke.be.si.ze
québécisés;ke.be.si.ze
québécisa;ke.be.si.za
québécisai;ke.be.si.ze
québécisaient;ke.be.si.zɛ
québécisais;ke.be.si.zɛ
québécisait;ke.be.si.zɛ
québécisant;ke.be.si.zɑ̃
québécisas;ke.be.si.za
québécisasse;ke.be.si.zas
québécisassent;ke.be.si.zas
québécisasses;ke.be.si.zas
québécisassiez;ke.be.si.za.sje
québécisassions;ke.be.si.za.sjɔ̃
québécisation;ke.be.si.za.sjɔ̃
québécise;ke.be.siz
québécisent;ke.be.siz
québéciser;ke.be.si.ze
québécisera;ke.be.si.zə.ʁa
québéciserai;ke.be.si.zə.ʁe
québéciseraient;ke.be.si.zə.ʁɛ
québéciserais;ke.be.si.zə.ʁɛ
québéciserait;ke.be.si.zə.ʁɛ
québéciseras;ke.be.si.zə.ʁa
québéciserez;ke.be.si.zə.ʁe
québéciseriez;ke.be.si.zə.ʁje
québéciserions;ke.be.si.zə.ʁjɔ̃
québéciserons;ke.be.si.zə.ʁɔ̃
québéciseront;ke.be.si.zə.ʁɔ̃
québécises;ke.be.siz
québécisez;ke.be.si.ze
québécisiez;ke.be.si.zje
québécisions;ke.be.si.zjɔ̃
québécisme;ke.be.sism
québécismes;ke.be.sism
québécisons;ke.be.si.zɔ̃
québécois;ke.be.kwa
québécoise;ke.be.kwaz
québécoises;ke.be.kwaz
québecois;ke.be.kwa
québecoise;ke.be.kwaz
québecoises;ke.be.kwaz
québlo;keb.lo
québot;ke.bɔ
quéchua;ke.ʃwa
quécro;kek.ʁo
quéménévenoises;ke.me.ne.və.nwaz
quémandâmes;ke.mɑ̃.dam
quémandât;ke.mɑ̃.da
quémandâtes;ke.mɑ̃.dat
quémandèrent;ke.mɑ̃.dɛʁ
quémandé;ke.mɑ̃.de
quémandée;ke.mɑ̃.de
quémandées;ke.mɑ̃.de
quémandés;ke.mɑ̃.de
quémand;ke.mɑ̃
quémanda;ke.mɑ̃.da
quémandai;ke.mɑ̃.de
quémandaient;ke.mɑ̃.dɛ
quémandais;ke.mɑ̃.dɛ
quémandait;ke.mɑ̃.dɛ
quémandant;ke.mɑ̃.dɑ̃
quémandas;ke.mɑ̃.da
quémandasse;ke.mɑ̃.das
quémandassent;ke.mɑ̃.das
quémandasses;ke.mɑ̃.das
quémandassiez;ke.mɑ̃.da.sje
quémandassions;ke.mɑ̃.da.sjɔ̃
quémande;ke.mɑ̃d
quémandent;ke.mɑ̃d
quémander;ke.mɑ̃.de
quémandera;ke.mɑ̃.də.ʁa
quémanderai;ke.mɑ̃.də.ʁe
quémanderaient;ke.mɑ̃.də.ʁɛ
quémanderais;ke.mɑ̃.də.ʁɛ
quémanderait;ke.mɑ̃.də.ʁɛ
quémanderas;ke.mɑ̃.də.ʁa
quémanderez;ke.mɑ̃.də.ʁe
quémanderiez;ke.mɑ̃.də.ʁje
quémanderions;ke.mɑ̃.də.ʁjɔ̃
quémanderons;ke.mɑ̃.də.ʁɔ̃
quémanderont;ke.mɑ̃.də.ʁɔ̃
quémandes;ke.mɑ̃d
quémandeur;ke.mɑ̃.dœʁ
quémandeurs;ke.mɑ̃.dœʁ
quémandeuse;ke.mɑ̃.døz
quémandeuses;ke.mɑ̃.døz
quémandeux;ke.mɑ̃.dø
quémandez;ke.mɑ̃.de
quémandiez;ke.mɑ̃.dje
quémandions;ke.mɑ̃.djɔ̃
quémandons;ke.mɑ̃.dɔ̃
quémands;ke.mɑ̃
quémiche;ka.las
quémisse;ka.las
quénot;ke.no
quéquette;ke.kɛt
quéquettes;ke.kɛt
quérabilité;ke.ʁa.bi.li.te
quérable;ke.ʁabl
quérant;ke.ʁɑ̃
quérir;ke.ʁiʁ
quérulence;ke.ʁy.lɑ̃s
quérulences;ke.ʁy.lɑ̃s
quérulent;ke.ʁy.lɑ̃
quérulente;ke.ʁy.lɑ̃t
quérulentes;ke.ʁy.lɑ̃t
quérulents;ke.ʁy.lɑ̃
quésaco;ke.za.ko
quésako;ke.za.ko
quétaine;ke.tɛn
quétaineries;ke.ʁy.lɑ̃
quétaines;ke.ʁy.lɑ̃
quételles;ke.tɛl
quézaco;ke.za.ko
quêtâmes;ke.tam
quêtât;ke.ta
quêtâtes;ke.tat
quêtèrent;ke.tɛʁ
quêté;ke.te
quêtée;ke.te
quêtées;ke.te
quêtés;ke.te
quêta;ke.ta
quêtai;ke.te
quêtaient;ke.tɛ
quêtais;ke.tɛ
quêtait;ke.tɛ
quêtant;ke.tɑ̃
quêtas;ke.ta
quêtasse;ke.tas
quêtassent;ke.tas
quêtasses;ke.tas
quêtassiez;ke.ta.sje
quêtassions;ke.ta.sjɔ̃
quête;kɛt
quêtent;kɛt
quêter;kɛ̃.kɛ
quêtera;kɛ.tə.ʁa
quêterai;kɛ.tə.ʁe
quêteraient;kɛ.tə.ʁɛ
quêterais;kɛ.tə.ʁɛ
quêterait;kɛ.tə.ʁɛ
quêteras;kɛ.tə.ʁa
quêterez;kɛ.tə.ʁe
quêteriez;kɛ.tə.ʁje
quêterions;kɛ.tə.ʁjɔ̃
quêterons;kɛ.tə.ʁɔ̃
quêteront;kɛ.tə.ʁɔ̃
quêtes;kɛt
quêteurs;kɛ.tœʁ
quêtez;ke.te
quêtiez;ke.tje
quêtions;ke.tjɔ̃
quêtons;ke.tɔ̃
qu;ky
quachi;kwa.ʃi
quacre;kwakʁ
quad;kwad
quadeur;kwa.dœʁ
quadeurs;kwa.dœʁ
quadeuse;kwa.døz
quadeuses;kwa.døz
quadlet;kwad.lɛ
quadlets;ki.lo.ɡœʁ
quadrâmes;ka.dʁam
quadrât;ka.dʁa
quadrâtes;ka.dʁat
quadrèrent;ka.dʁɛʁ
quadré;ka.dʁe
quadrée;ka.dʁe
quadrées;ka.dʁe
quadrés;ka.dʁe
quadra;kwa.dʁa
quadrado;ka.dʁa
quadrae;kyl.ty.ʁa
quadragénaire;kwa.dʁa.ʒe.nɛʁ
quadragénaires;kwa.dʁa.ʒe.nɛʁ
quadragésimal;kwa.dʁa.ʒe.zi.mal
quadragésimale;kwa.dʁa.ʒe.zi.mal
quadragésimales;kwa.dʁa.ʒe.zi.mal
quadragésimaux;kwa.dʁa.ʒe.zi.mo
quadragésime;kɑ̃.tɔm
quadragennale;kwa.dʁa.ʒɛ.nal
quadragennales;kwa.dʁa.ʒɛ.nal
quadragennaux;kwa.dʁa.ʒɛ.no
quadragesimo;kwa.dʁa.ʒe.zi.mo
quadrai;ka.dʁe
quadraient;ka.dʁɛ
quadrais;ka.dʁɛ
quadrait;ka.dʁɛ
quadram;kyl.ty.ʁa
quadrament;kadɔʁɛ
quadranat;kadɔʁɛ
quadrandàs;kadɔʁɛ
quadrandejar;kadɔʁɛ
quadrangle;ka.dʁɑ̃ɡl
quadrangles;ka.dʁɑ̃ɡl
quadrangulé;kwa.dʁɑ̃.ɡy.le
quadrangulaire;kwad.ʁɑ̃.ɡy.lɛʁ
quadrangulairement;kwa.dʁɑ̃.ɡy.lɛʁ.mɑ̃
quadrangulaires;kwad.ʁɑ̃.ɡy.lɛʁ
quadrans;kwa.dʁɑ̃
quadrantàs;kadɔʁɛ
quadrant;kwa.dʁɑ̃
quadrantejar;kadɔʁɛ
quadrants;kwa.dʁɑ̃
quadrar;kadɔʁɛ
quadrarum;kyl.ty.ʁa
quadras;kwa.dʁa
quadrasse;ka.dʁas
quadrassent;ka.dʁas
quadrasses;ka.dʁas
quadrassiez;ka.dʁa.sje
quadrassions;ka.dʁa.sjɔ̃
quadrat;ka.dʁa
quadrateur;kwa.dʁa.tœʁ
quadratin;ka.dʁa.tɛ̃
quadratique;kwa.dʁa.tik
quadratrice;ka.dʁy.ple
quadratura;kadɔʁɛ
quadrature;kwa.dʁa.tyʁ
quadre;kadʁ
quadrent;kadʁ
quadrer;ka.dʁe
quadrera;ka.dʁə.ʁa
quadrerai;ka.dʁə.ʁe
quadreraient;ka.dʁə.ʁɛ
quadrerais;ka.dʁə.ʁɛ
quadrerait;ka.dʁə.ʁɛ
quadreras;ka.dʁə.ʁa
quadrerez;ka.dʁə.ʁe
quadreriez;ka.dʁə.ʁje
quadrerions;ka.dʁə.ʁjɔ̃
quadrerons;ka.dʁə.ʁɔ̃
quadreront;ka.dʁə.ʁɔ̃
quadres;kadʁ
quadrez;ka.dʁe
quadriépointé;kwa.dʁje.pwɛ̃.te
quadriannuel;ka.dʁi.a.nɥɛl
quadriathlon;ka.dʁi.at.lɔ̃
quadriathlons;ka.dʁi.at.lɔ̃
quadriatomicité;kwa.dʁi.a.tɔ.mi.si.te
quadriatomique;kwa.dʁi.a.tɔ.mik
quadribasique;kwa.dʁi.ba.zik
quadricéphale;ka.dʁi.se.fal
quadricéphales;ka.dʁi.se.fal
quadricœur;kwa.dʁi.kœʁ
quadricoeur;kwa.dʁi.kœʁ
quadricapillosection;kwa.dɛk.sjɔ̃
quadricapillosections;ki.lin
quadricarbure;kwa.dʁi.kaʁ.by.ʁ
