Védaquais;ve.da.kɛ
Vénéjan;veneʒɑ̃
Vénérolles;ve.ne.ʁɔl
Vénétie;ve.ne.si
Vénézuéla;ve.ne.zɥe.la
Vénézuélien;ve.ne.zɥe.ljɛ̃
Vénézuélienne;ve.ne.zɥe.ljɛn
Vénézuéliennes;ve.ne.zɥe.ljɛn
Vénézuéliens;ve.ne.zɥe.ljɛ̃
Vénisien;ve.ni.zjɛ̃
Vénitien;vɛ.ni.tjɛ̃
Vénitienne;vɛ.ni.tjɛn
Vénitiennes;vɛ.ni.tjɛn
Vénitiens;vɛ.ni.tjɛ̃
Vénusien;ve.ny.zjɛ̃
Véro;ve.ʁo
Véron;ve.ʁɔ̃
Véronais;ve.ʁɔ.nɛ
Vérone;ve.ʁɔn
Véronique;vɛ.ʁɔ.nik
Véroniquois;ve.ʁɔ.ni.kwa
Vésuve;ve.zyv
Vétheuil;ve.tœj
Vézère;ve.zɛʁ
Vaccastrien;va.kas.tʁi.jɛ̃
Vacqueyras;va.kɛ.ʁas
Vaduz;va.dyz
Vaginismus;va.ʒi.nism
Vailhauquès;va.jo.kɛs
Vaironnes;vɛ.ʁɔn
Vaison;val.ʁa.sjɛ̃
Valèrien;va.lɛ.ʁjɛ̃
Valérie;va.le.ʁi
Valériennois;va.le.ʁjɛ.nwa
Valérienois;va.le.ʁi.nwa
Valéry;va.le.ʁi
Valésiens;va.le.zjɛ̃
Valachie;va.la.ki
Valade;va.lad
Valady;valadi
Valanginien;va.lɑ̃.ʒi.njɛ̃
Valaquie;valaki
Valboisien;val.bwa.zjɛ̃
Valburge;val.byʁʒ
Valcampiste;val.kɑ̃.pist
Valcartiste;val.kaʁ.tist
Valcartois;val.kaʁ.twa
Valcourtois;val.kuʁ.twa
Valdorien;val.dɔ.ʁjɛ̃
Valençais;va.lɑ̃.sɛ
Valençay;va.lɑ̃.sɛ
Valençois;va.lɑ̃.swa
Valence;va.lɑ̃s
Valencia;va.lɛn.sja
Valencien;va.lɑ̃.sjɛ̃
Valencienne;va.lɑ̃.sjɛn
Valenciennes;va.lɑ̃.sjɛn
Valenciennoise;va.lɑ̃.sjɛ.nwaz
Valenciennoises;va.lɑ̃.sjɛ.nwaz
Valenciens;va.lɑ̃.sjɛ̃
Valenteno;vjɑ̃.daʁ
Valentien;va.lɑ̃.sjɛ̃
Valentienne;va.lɑ̃.sjɛn
Valentiennes;va.lɑ̃.sjɛn
Valentiens;va.lɑ̃.sjɛ̃
Valentin;va.lɑ̃.tɛ̃
Valentine;va.lɑ̃.tin
Valenton;va.lɑ̃.tɔ̃
Valerienois;val.ʁi.nwa
Valettin;va.lɛ.tɛ̃
Valettois;va.lɛ.twa
Valframbert;val.fʁɑ̃.bɛʁ
Valium;va.ljɔm
Valléen;va.le.ɛ̃
Vallacquois;va.la.kwa
Valleycampien;va.le.kɑ̃.pjɛ̃
Valleyfieldois;va.le.fil.dwa
Vallierois;va.lje.ʁwa
Vallois;va.lwa
Valloisien;va.lwa.zjɛ̃
Valloisiens;va.lwa.zjɛ̃
Valls;vals
Valmondois;val.mɔ̃.dwa
Valmongeois;val.mɔ̃.ʒwa
Valmont;val.mɔ̃
Valmontois;val.mɔ̃.twa
Valmorinois;val.mɔ.ʁi.nwa
Valmy;val.mi
Valognais;va.lɔ.ɲɛ
Valognes;va.lɔɲ
Valois;va.lwa
Valonsko;vɔl.ta.i.ze
Valpuiseaux;val.pɥi.zo
Valromey;val.ʁɔ.mɛ
Valsemé;val.sə.me
Van;van
Vancouvérois;vɑ̃.ku.ve.ʁwa
Vancouvéroise;vɑ̃.ku.ve.ʁwaz
Vancouvéroises;vɑ̃.ku.ve.ʁwaz
Vancouver;vɑ̃.ku.vɛʁ
Vancouverois;vɑ̃.ku.və.ʁwa
Vancouveroise;vɑ̃.ku.və.ʁwaz
Vancouveroises;vɑ̃.ku.və.ʁwaz
Vandéenne;vɑ̃.de.ɛn
Vandale;vɑ̃.dal
Vandy;vɑ̃.di
Vanessa;va.nɛ.sa
Vaniérois;va.nje.ʁwa
Vannes;van
Vannetais;va.nə.tɛ
Vanouatais;va.nu.a.tɛ
Vanouatou;va.nu.a.tu
Vanuatais;va.nu.a.tɛ
Vanuataise;va.nu.a.tɛz
Vanuataises;va.nu.a.tɛz
Vanuatu;va.nu.a.tu
Vanves;vɑ̃v
Varègue;va.ʁɛɡ
Varègues;va.ʁɛɡ
Varèse;va.ʁez
Var;vaʁ
Varangien;va.ʁɑ̃.ʒjɛ̃
Varaville;va.ʁa.vil
Varces;vaʁs
Varennes;va.ʁɛn
Varennois;va.ʁɛ.nwa
Varna;vaʁ.na
Varois;vaʁ
Varréon;va.ʁe.ɔ̃
Vars;vaʁs
Varsovie;vaʁ.sɔ.vi
Varsovien;vaʁ.sɔ.vjɛ̃
Varsovienne;vaʁ.sɔ.vjɛn
Varsoviennes;vaʁ.sɔ.vjɛn
Varsoviens;vaʁ.sɔ.vjɛ̃
Varsovio;vaʁ.sɔ.vi
Vassanois;va.sa.nwa
Vassy;va.si
Vatican;va.ti.kɑ̃
Vaticanais;va.ti.ka.nɛ
Vaubadon;vo.ba.dɔ̃
Vaucelles;vo.sɛl
Vauchamps;vo.ʃɑ̃
Vaucluse;vok.lyz
Vauclusien;vok.lyz
Vaucresson;vok.ʁø.sɔ̃
Vaudeloges;vo.də.lɔʒ
Vaudherland;vo.dɛʁ.lɑ̃
Vaudreuillois;vo.dʁœj.wa
Vaudrivillers;vo.dʁi.vi.le
Vaudry;vo.dʁi
Vaugirard;vɔ.ʒi.ʁaʁ
Vauhallan;vo.a.lɑ̃
Vaujours;vo.ʒuʁ
Vaunoise;vo.nwaz
Vauréal;vo.ʁeal
Vauréenne;vo.ʁe.ɛn
Vauréennes;vo.ʁe.ɛn
Vauréens;vo.ʁe.ɛ̃
Vaurien;vo.ʁjɛ̃
Vauville;vo.vil
Vaux;vo
Veauce;vos
Vedanta;ve.dɑ̃.ta
Vedette;və.dɛt
Veganerin;ve.ɡan
Veganerinnen;ve.ɡan
Veganern;ve.ɡan
Veganers;ve.ɡan
Veilleur;ve.jœʁ
Veilleurs;ve.jœʁ
Veinard;vɛ.naʁ
Velux;ve.lyks
Venècia;və.niz
Vence;vɑ̃s
Vendée;vɑ̃.de
Vendôme;vɑ̃.dom
Venda;vɛn.da
Vendes;vɑ̃d
Vendeuvre;vɑ̃.dœvʁ
Vendresse;vɑ̃.dʁɛs
Venecia;və.niz
Venedig;və.niz
Venetens;van
Venetië;və.niz
Venetia;və.niz
Venetsia;və.niz
Veneusien;və.nø.zjɛ̃
Veneusienne;və.nø.zjɛn
Venezia;və.niz
Venezuela;ve.ne.zɥe.la
Venise;və.niz
Vennicienne;ve.ni.sjɛn
Ventoux;vɑ̃tu
